aspect_deg,rcs_m2,rcs_dbsm
115,0.006280,-22.02
116,0.006321,-21.99
117,0.006123,-22.13
118,0.006035,-22.19
119,0.005995,-22.22
120,0.006028,-22.20
121,0.005957,-22.25
122,0.005912,-22.28
123,0.005842,-22.33
124,0.005914,-22.28
125,0.006026,-22.20
126,0.006025,-22.20
127,0.006132,-22.12
128,0.006108,-22.14
129,0.006265,-22.03
130,0.006271,-22.03
131,0.006489,-21.88
132,0.006563,-21.83
133,0.006631,-21.78
134,0.006726,-21.72
135,0.007041,-21.52
136,0.007167,-21.45
137,0.007374,-21.32
138,0.007589,-21.20
139,0.007790,-21.08
140,0.008213,-20.85
141,0.008235,-20.84
142,0.008407,-20.75
143,0.008851,-20.53
144,0.009143,-20.39
145,0.009489,-20.23
146,0.009766,-20.10
147,0.009934,-20.03
148,0.010386,-19.84
149,0.010643,-19.73
150,0.011055,-19.56
151,0.011507,-19.39
152,0.011762,-19.30
153,0.011998,-19.21
154,0.012294,-19.10
155,0.012639,-18.98
156,0.013043,-18.85
157,0.013505,-18.70
158,0.013680,-18.64
159,0.013963,-18.55
160,0.014376,-18.42
161,0.014713,-18.32
162,0.015066,-18.22
163,0.015264,-18.16
164,0.015588,-18.07
165,0.015821,-18.01
166,0.015994,-17.96
167,0.016272,-17.89
168,0.016513,-17.82
169,0.016904,-17.72
170,0.016876,-17.73
171,0.017253,-17.63
172,0.017370,-17.60
173,0.017521,-17.56
174,0.017670,-17.53
175,0.017645,-17.53
176,0.017870,-17.48
177,0.017831,-17.49
178,0.017807,-17.49
179,0.018082,-17.43
180,0.018059,-17.43
181,0.017898,-17.47
182,0.017913,-17.47
183,0.017805,-17.49
184,0.017807,-17.49
185,0.017777,-17.50
186,0.017621,-17.54
187,0.017543,-17.56
188,0.017306,-17.62
189,0.017155,-17.66
190,0.016926,-17.71
191,0.016782,-17.75
192,0.016417,-17.85
193,0.016236,-17.90
194,0.016017,-17.95
195,0.015755,-18.03
196,0.015468,-18.11
197,0.015244,-18.17
198,0.014938,-18.26
199,0.014695,-18.33
200,0.014292,-18.45
201,0.013960,-18.55
202,0.013787,-18.61
203,0.013397,-18.73
204,0.013098,-18.83
205,0.012867,-18.91
206,0.012390,-19.07
207,0.012060,-19.19
208,0.011712,-19.31
209,0.011363,-19.45
210,0.011094,-19.55
211,0.010645,-19.73
212,0.010508,-19.78
213,0.009684,-20.14
214,0.009592,-20.18
215,0.009482,-20.23
216,0.009096,-20.41
217,0.008874,-20.52
218,0.008539,-20.69
219,0.008282,-20.82
220,0.008030,-20.95
221,0.007837,-21.06
222,0.007587,-21.20
223,0.007367,-21.33
224,0.007142,-21.46
225,0.006957,-21.58
226,0.006809,-21.67
227,0.006669,-21.76
228,0.006522,-21.86
229,0.006438,-21.91
230,0.006336,-21.98
231,0.006151,-22.11
232,0.006171,-22.10
233,0.005943,-22.26
234,0.005865,-22.32
235,0.005970,-22.24
236,0.005969,-22.24
237,0.005942,-22.26
238,0.005881,-22.31
239,0.005898,-22.29
240,0.005990,-22.23
241,0.006001,-22.22
242,0.006110,-22.14
243,0.006105,-22.14
244,0.006271,-22.03
245,0.006201,-22.08
246,0.006406,-21.93
247,0.006399,-21.94
248,0.006555,-21.83
249,0.006576,-21.82
250,0.006647,-21.77
251,0.006828,-21.66
252,0.006949,-21.58
253,0.007024,-21.53
254,0.007178,-21.44
255,0.007149,-21.46
256,0.007248,-21.40
257,0.007302,-21.37
258,0.007356,-21.33
259,0.007659,-21.16
260,0.007692,-21.14
261,0.007731,-21.12
262,0.007702,-21.13
263,0.007735,-21.12
264,0.007981,-20.98
265,0.007865,-21.04
266,0.008022,-20.96
267,0.007929,-21.01
268,0.007955,-20.99
269,0.007931,-21.01
270,0.008022,-20.96
271,0.007975,-20.98
272,0.008075,-20.93
273,0.007998,-20.97
274,0.007959,-20.99
275,0.007902,-21.02
276,0.007791,-21.08
277,0.007889,-21.03
278,0.007769,-21.10
279,0.007759,-21.10
280,0.007654,-21.16
281,0.007448,-21.28
282,0.007398,-21.31
283,0.007415,-21.30
284,0.007332,-21.35
285,0.007217,-21.42
286,0.007105,-21.48
287,0.006935,-21.59
288,0.006884,-21.62
289,0.006778,-21.69
290,0.006873,-21.63
291,0.006702,-21.74
292,0.006603,-21.80
293,0.006406,-21.93
294,0.006284,-22.02
295,0.006304,-22.00
296,0.006163,-22.10
297,0.005992,-22.22
298,0.006027,-22.20
299,0.006085,-22.16
300,0.006040,-22.19
301,0.006066,-22.17
302,0.005981,-22.23
303,0.005975,-22.24
304,0.006037,-22.19
305,0.006008,-22.21
306,0.005891,-22.30
307,0.006064,-22.17
308,0.006177,-22.09
309,0.006132,-22.12
310,0.006305,-22.00
311,0.006312,-22.00
312,0.006386,-21.95
313,0.006511,-21.86
314,0.006689,-21.75
315,0.006919,-21.60
316,0.007158,-21.45
317,0.007532,-21.23
318,0.007653,-21.16
319,0.007776,-21.09
320,0.008114,-20.91
321,0.008377,-20.77
322,0.008574,-20.67
323,0.008920,-20.50
324,0.009256,-20.34
325,0.009295,-20.32
326,0.009780,-20.10
327,0.010155,-19.93
328,0.010283,-19.88
329,0.010637,-19.73
330,0.010955,-19.60
331,0.011321,-19.46
332,0.011679,-19.33
333,0.012131,-19.16
334,0.012217,-19.13
335,0.012718,-18.96
336,0.013075,-18.84
337,0.013512,-18.69
338,0.013750,-18.62
339,0.014158,-18.49
340,0.014285,-18.45
341,0.014557,-18.37
342,0.015033,-18.23
343,0.015316,-18.15
344,0.015573,-18.08
345,0.015705,-18.04
346,0.016217,-17.90
347,0.016229,-17.90
348,0.016491,-17.83
349,0.016737,-17.76
350,0.016960,-17.71
351,0.017236,-17.64
352,0.017348,-17.61
353,0.017433,-17.59
354,0.017687,-17.52
355,0.017737,-17.51
356,0.017828,-17.49
357,0.017829,-17.49
358,0.018082,-17.43
359,0.017975,-17.45
