aspect_deg,rcs_m2,rcs_dbsm
222,0.015048,-18.23
223,0.014384,-18.42
224,0.014373,-18.42
225,0.013998,-18.54
226,0.013665,-18.64
227,0.013606,-18.66
228,0.013188,-18.80
229,0.013073,-18.84
230,0.012523,-19.02
231,0.012483,-19.04
232,0.011980,-19.22
233,0.012211,-19.13
234,0.012341,-19.09
235,0.012303,-19.10
236,0.012030,-19.20
237,0.011784,-19.29
238,0.012043,-19.19
239,0.011713,-19.31
240,0.011747,-19.30
241,0.012190,-19.14
242,0.012583,-19.00
243,0.012559,-19.01
244,0.012192,-19.14
245,0.012631,-18.99
246,0.013042,-18.85
247,0.013175,-18.80
248,0.012932,-18.88
249,0.013305,-18.76
250,0.013451,-18.71
251,0.013691,-18.64
252,0.014084,-18.51
253,0.014090,-18.51
254,0.014372,-18.42
255,0.014230,-18.47
256,0.014641,-18.34
257,0.014584,-18.36
258,0.014803,-18.30
259,0.015241,-18.17
260,0.015392,-18.13
261,0.015594,-18.07
262,0.015589,-18.07
263,0.015712,-18.04
264,0.015591,-18.07
265,0.016154,-17.92
266,0.015889,-17.99
267,0.016025,-17.95
268,0.015781,-18.02
269,0.015686,-18.05
270,0.016133,-17.92
271,0.016411,-17.85
272,0.016271,-17.89
273,0.015894,-17.99
274,0.015867,-18.00
275,0.015745,-18.03
276,0.015883,-17.99
277,0.015660,-18.05
278,0.015681,-18.05
279,0.015072,-18.22
280,0.014967,-18.25
281,0.015332,-18.14
282,0.014824,-18.29
283,0.014769,-18.31
284,0.014941,-18.26
285,0.014422,-18.41
286,0.014212,-18.47
287,0.014188,-18.48
288,0.013756,-18.62
289,0.013360,-18.74
290,0.013398,-18.73
291,0.013255,-18.78
292,0.013090,-18.83
293,0.013224,-18.79
294,0.012307,-19.10
295,0.012419,-19.06
296,0.012453,-19.05
297,0.012115,-19.17
298,0.012439,-19.05
299,0.012051,-19.19
300,0.012087,-19.18
301,0.011989,-19.21
302,0.012000,-19.21
303,0.012022,-19.20
304,0.011472,-19.40
305,0.011741,-19.30
306,0.012107,-19.17
307,0.012526,-19.02
308,0.012240,-19.12
309,0.013027,-18.85
310,0.012793,-18.93
311,0.012871,-18.90
312,0.013076,-18.84
313,0.013440,-18.72
314,0.013261,-18.77
315,0.014205,-18.48
316,0.014731,-18.32
317,0.014909,-18.27
318,0.015254,-18.17
319,0.015755,-18.03
320,0.015901,-17.99
321,0.016630,-17.79
322,0.017076,-17.68
323,0.017672,-17.53
324,0.018206,-17.40
325,0.018896,-17.24
326,0.019423,-17.12
327,0.019867,-17.02
328,0.020532,-16.88
329,0.021113,-16.75
330,0.022316,-16.51
331,0.022940,-16.39
332,0.023519,-16.29
333,0.023577,-16.28
334,0.024415,-16.12
335,0.025554,-15.93
336,0.026033,-15.84
337,0.026534,-15.76
338,0.027589,-15.59
339,0.028121,-15.51
340,0.028759,-15.41
341,0.029246,-15.34
342,0.030086,-15.22
343,0.030457,-15.16
344,0.030999,-15.09
345,0.031937,-14.96
346,0.032070,-14.94
347,0.033079,-14.80
348,0.033423,-14.76
349,0.033539,-14.74
350,0.033756,-14.72
351,0.034538,-14.62
352,0.034523,-14.62
353,0.035366,-14.51
354,0.035453,-14.50
355,0.035761,-14.47
356,0.035346,-14.52
357,0.035520,-14.50
358,0.035658,-14.48
359,0.035755,-14.47
