hour,visibility_km,rain_rate_mmhr,temperature_c,wind_speed_mps
351,12.04,0.0,24.8,5.1
352,10.26,0.0,29.3,4.5
353,6.95,0.0,23.7,3.0
354,20.34,0.0,23.5,9.4
355,9.66,0.0,20.8,7.0
356,13.38,0.0,21.0,4.4
357,12.13,0.0,21.7,1.8
358,18.27,0.0,17.2,3.7
359,16.02,0.0,17.6,3.6
360,10.45,0.0,18.4,1.6
361,9.50,0.0,15.7,6.1
362,11.40,0.0,20.0,5.0
363,6.26,0.0,18.5,2.5
364,7.52,0.0,20.7,5.2
365,16.75,0.0,20.2,8.1
366,14.58,0.0,21.4,6.1
367,6.82,0.0,24.4,3.2
368,11.34,0.0,28.0,18.9
369,4.77,0.0,25.2,5.8
370,13.21,0.0,28.8,3.1
371,9.96,0.0,29.9,11.9
372,42.82,0.0,29.6,1.5
373,17.33,0.0,27.7,2.2
374,6.88,0.0,27.8,3.3
375,6.82,0.0,29.0,8.0
376,17.86,0.0,27.1,3.0
377,20.65,0.0,24.5,4.2
378,37.16,0.0,21.4,2.6
379,24.38,0.0,24.6,6.8
380,16.22,0.0,20.8,6.0
381,28.61,0.0,18.8,1.9
382,12.74,0.0,19.6,4.4
383,12.40,0.0,15.1,5.2
384,5.88,0.0,19.2,4.0
385,30.11,0.0,19.2,4.3
386,13.19,0.0,19.3,3.0
387,11.48,0.0,21.0,7.4
388,7.57,0.0,21.0,2.8
389,25.41,0.0,22.7,7.9
390,22.02,0.0,24.1,4.5
391,7.09,0.0,26.0,3.3
392,16.55,0.0,25.1,4.3
393,19.64,0.0,27.3,4.7
394,5.77,0.0,26.8,3.6
395,17.90,0.0,28.4,3.6
396,15.87,0.0,28.1,2.5
397,17.71,0.0,26.6,10.6
398,40.13,0.0,28.3,2.8
399,45.00,0.0,24.0,2.2
400,25.58,0.0,24.0,5.8
401,14.24,0.0,25.5,1.4
402,17.87,0.0,22.1,4.6
403,15.81,0.0,22.6,2.3
404,45.00,0.0,24.0,5.8
405,13.23,0.0,16.4,4.0
406,9.50,0.0,19.2,2.6
407,16.93,0.0,21.0,4.0
408,42.63,0.0,18.5,5.8
409,6.81,0.0,18.3,3.4
410,8.14,0.0,18.2,3.6
411,7.87,0.0,18.4,7.8
412,5.94,0.0,17.5,5.7
413,6.88,0.0,21.1,3.4
414,21.42,0.0,23.2,4.7
415,13.90,0.0,24.6,3.7
416,5.61,0.0,27.0,8.3
417,18.38,0.0,27.9,1.6
418,14.99,0.0,27.8,6.2
419,21.56,0.0,28.4,6.0
420,8.48,0.0,28.0,2.9
421,5.83,0.0,26.8,2.6
422,18.32,0.0,28.8,9.0
423,19.99,0.0,26.4,3.9
424,6.28,0.0,26.0,10.6
425,14.05,0.0,28.3,2.4
426,8.42,0.0,24.5,4.3
427,21.82,0.0,21.5,3.2
428,18.13,0.0,18.3,3.5
429,25.31,0.0,21.2,5.5
430,7.35,0.0,14.4,2.9
431,8.05,0.0,17.6,4.0
432,9.75,0.0,15.3,2.8
433,8.86,0.0,17.5,6.4
434,15.20,0.0,18.0,14.2
435,6.38,0.0,19.8,9.8
436,30.35,0.0,20.3,2.5
437,34.68,0.0,23.2,3.4
438,23.70,0.0,24.0,4.3
439,16.45,0.0,25.6,1.3
440,11.31,0.0,23.5,4.3
441,13.64,0.0,26.4,6.0
442,7.74,0.0,28.3,4.4
443,13.39,0.0,28.0,4.2
444,14.90,0.0,27.2,3.0
445,7.42,0.0,26.8,3.6
446,32.23,0.0,30.2,3.4
447,11.58,0.0,27.3,2.4
448,6.57,0.0,22.4,7.8
449,10.77,0.0,22.5,11.6
450,8.49,0.0,19.9,3.1
451,7.36,0.0,19.7,2.4
452,31.27,0.0,18.8,2.8
453,12.26,0.0,21.4,2.5
454,22.60,0.0,19.5,3.4
455,15.59,0.0,17.0,5.3
456,16.22,0.0,16.9,9.2
457,12.08,0.0,17.3,1.7
458,9.40,0.0,17.4,7.9
459,26.58,0.0,19.1,4.5
460,18.04,0.0,19.3,1.3
461,10.93,0.0,21.4,2.1
462,22.12,0.0,21.1,6.1
463,30.15,0.0,24.3,2.7
464,15.17,0.0,25.9,3.6
465,30.90,0.0,25.1,4.1
466,9.15,0.0,26.3,9.1
467,7.10,0.0,27.6,2.1
468,9.92,0.0,29.4,6.6
469,12.49,0.0,29.6,9.6
470,30.98,0.0,27.2,2.5
471,9.69,0.0,27.0,7.2
472,15.34,0.0,25.3,3.3
473,23.58,0.0,26.2,3.0
474,16.13,0.0,25.6,3.7
475,9.06,0.0,23.0,5.1
476,5.66,0.0,21.2,2.9
477,25.31,0.0,20.2,7.8
478,6.48,0.0,18.9,3.5
479,9.71,0.0,17.1,1.3
480,12.43,0.0,17.3,4.3
481,26.00,0.0,18.6,2.1
482,22.17,0.0,18.0,3.8
483,13.32,0.0,17.5,5.6
484,25.22,0.0,20.3,3.0
485,28.78,0.0,19.3,1.6
486,9.15,0.0,25.9,2.5
487,9.62,0.0,23.5,9.8
488,19.10,0.0,25.5,5.0
489,33.72,0.0,28.4,7.5
490,8.03,0.0,31.1,12.2
491,4.03,0.0,27.6,15.4
492,17.99,0.0,26.9,5.1
493,27.62,0.0,28.8,3.8
494,13.17,0.0,27.3,3.1
495,45.00,0.0,26.4,4.8
496,7.37,0.0,25.8,5.9
497,7.80,0.0,25.0,6.8
498,7.74,0.0,26.1,2.4
499,12.84,0.0,19.7,2.5
500,13.01,0.0,23.4,3.9
501,7.68,0.0,19.2,4.5
502,23.90,0.0,20.1,11.8
503,14.31,0.0,18.4,1.1
504,6.55,0.0,18.1,3.1
505,17.61,0.0,18.5,7.4
506,9.47,0.0,17.5,2.5
507,12.95,0.0,21.9,4.4
508,20.75,0.0,21.4,8.0
509,22.19,0.0,22.3,6.7
510,21.11,0.0,22.6,6.8
511,12.55,0.0,22.3,4.0
512,6.79,0.0,26.6,4.8
513,10.06,0.0,27.7,5.0
514,12.35,0.0,28.3,3.3
515,30.81,0.0,28.0,7.4
516,8.88,0.0,27.7,2.0
517,13.75,0.0,29.7,3.0
518,5.81,0.0,28.1,7.4
519,14.94,0.0,27.0,1.4
520,11.85,0.0,23.3,4.9
521,11.27,0.0,21.6,8.7
522,20.25,0.0,26.5,2.8
523,8.07,0.0,23.0,5.7
524,28.23,0.0,22.5,4.8
525,7.72,0.0,17.1,6.6
526,27.65,0.0,20.2,4.5
527,4.68,0.0,17.8,8.9
528,14.64,0.0,18.2,5.6
529,17.57,0.0,19.0,7.5
530,9.82,0.0,19.0,7.3
531,14.39,0.0,19.8,10.1
532,9.79,0.0,19.2,2.5
533,15.94,0.0,22.7,2.1
534,14.16,0.0,21.7,8.4
535,45.00,0.0,23.1,4.9
536,5.33,0.0,25.7,13.8
537,13.74,0.0,24.7,1.2
538,9.46,0.0,29.1,4.3
539,13.13,0.0,29.6,4.4
540,11.23,0.0,27.4,7.7
541,9.88,0.0,27.5,14.4
542,8.90,0.0,27.4,4.5
543,18.70,0.0,23.6,5.8
544,9.74,0.0,23.3,1.5
545,12.02,0.0,25.4,5.3
546,13.62,0.0,23.6,5.4
547,7.89,0.0,21.2,3.2
548,17.56,0.0,19.9,5.4
549,6.85,0.0,20.6,5.2
550,16.38,0.0,15.9,11.8
551,15.50,0.0,21.0,2.8
552,11.25,0.0,19.4,2.6
553,6.32,0.0,17.6,2.7
554,12.23,0.0,19.3,3.5
555,6.56,0.0,21.6,1.7
556,11.39,0.0,19.0,3.8
557,19.56,0.0,23.7,4.6
558,12.07,0.0,23.0,11.0
559,25.85,0.0,25.3,4.2
560,14.54,0.0,26.8,9.6
561,19.37,0.0,26.8,7.4
562,18.73,0.0,29.0,4.9
563,28.34,0.0,27.2,4.1
564,5.57,0.0,28.0,6.2
565,8.90,0.0,26.7,6.6
566,12.39,0.0,26.3,3.3
567,19.70,0.0,26.8,6.4
568,13.48,0.0,26.8,4.2
569,12.14,0.0,22.4,6.2
570,22.61,0.0,23.6,12.0
571,9.95,0.0,23.5,3.6
572,9.67,0.0,22.5,1.4
573,16.65,0.0,19.3,4.3
574,45.00,0.0,17.1,2.4
575,12.04,0.0,19.2,5.2
576,8.27,0.0,18.7,2.4
577,8.67,0.0,18.2,4.2
578,9.78,0.0,18.3,11.9
579,26.99,0.0,20.0,13.5
580,9.78,0.0,21.1,5.6
581,14.63,0.0,21.1,2.6
582,11.53,0.0,22.7,7.6
583,5.54,0.0,22.2,3.4
584,10.01,0.0,26.0,1.8
585,2.76,0.0,27.2,14.5
586,13.53,0.0,25.5,4.5
587,16.34,0.0,27.7,6.2
588,7.33,0.0,27.2,3.7
589,8.80,0.0,29.6,6.2
590,5.45,0.0,25.4,2.7
591,3.22,0.0,28.2,4.2
592,4.93,0.0,27.4,7.8
593,18.01,0.0,20.7,4.0
594,10.09,0.0,24.0,2.7
595,13.81,0.0,22.5,7.8
596,41.45,0.0,18.2,3.6
597,22.18,0.0,19.0,3.6
598,16.83,0.0,18.0,2.3
599,9.11,0.0,16.8,11.3
600,31.05,0.0,17.1,8.5
601,25.56,0.0,19.5,3.8
602,20.82,0.0,18.8,2.7
603,12.15,0.0,18.6,6.7
604,7.00,0.0,18.8,5.7
605,30.28,0.0,23.0,3.5
606,20.54,0.0,25.5,4.2
607,10.78,0.0,24.0,6.4
608,10.32,0.0,25.4,5.1
609,5.85,0.0,30.4,5.6
610,19.23,0.0,28.6,5.2
611,13.49,0.0,29.5,6.9
612,15.47,0.0,27.1,3.2
613,21.29,0.0,26.6,4.9
614,18.79,0.0,29.3,2.9
615,7.21,0.0,27.2,3.0
616,12.35,0.0,25.8,14.0
617,15.61,0.0,24.9,1.9
618,16.33,0.0,25.6,6.7
619,4.69,0.0,20.6,22.9
620,6.66,0.0,20.7,12.9
621,18.07,0.0,18.4,6.3
622,17.91,0.0,19.1,14.1
623,32.00,0.0,19.4,5.7
624,4.81,0.0,18.5,3.8
625,20.88,0.0,20.8,4.5
626,15.27,0.0,17.9,7.7
627,6.48,0.0,20.3,15.6
628,4.22,0.0,22.4,8.5
629,21.42,0.0,21.1,4.2
630,6.75,0.0,22.3,3.1
631,5.54,0.0,24.1,1.4
632,15.99,0.0,23.3,4.1
633,12.11,0.0,28.2,2.4
634,17.20,0.0,27.6,7.8
635,15.77,0.0,25.3,3.9
636,45.00,0.0,27.4,8.0
637,18.80,0.0,29.8,20.2
638,18.10,0.0,26.8,4.1
639,7.18,0.0,28.9,4.9
640,31.11,0.0,25.1,5.6
641,9.00,0.0,22.1,3.8
642,7.06,0.0,19.8,4.8
643,10.73,0.0,24.9,3.6
644,15.86,0.0,19.3,10.1
645,9.23,0.0,18.6,3.9
646,7.20,0.0,18.5,2.1
647,7.11,0.0,18.5,2.2
648,13.78,0.0,16.5,2.7
649,17.05,0.0,20.1,3.4
650,17.91,0.0,19.1,7.6
651,4.79,0.0,21.3,7.3
652,7.40,0.0,17.5,7.7
653,21.30,0.0,22.4,4.5
654,9.44,0.0,23.6,8.1
655,13.76,0.0,24.3,3.9
656,45.00,0.0,24.7,1.5
657,3.15,0.0,24.3,7.9
658,11.27,0.0,25.3,3.0
659,18.63,0.0,29.8,3.9
660,6.76,0.0,28.6,3.6
661,11.24,0.0,27.5,6.1
662,5.93,0.0,26.9,4.9
663,17.23,0.0,28.1,3.9
664,8.14,0.0,27.0,11.7
665,9.41,0.0,23.1,4.2
666,20.86,0.0,20.8,3.9
667,17.01,0.0,22.3,7.3
668,21.85,0.0,22.4,9.0
669,34.97,0.0,20.5,7.6
670,12.73,0.0,21.2,3.1
671,43.38,0.0,17.9,5.6
672,13.68,0.0,18.4,4.7
673,26.86,0.0,18.1,4.0
674,11.97,0.0,19.8,2.6
675,20.17,0.0,18.4,5.1
676,9.43,0.0,20.8,8.6
677,27.21,0.0,24.2,11.9
678,24.30,0.0,21.9,9.0
679,10.72,0.0,21.3,3.4
680,13.38,0.0,26.3,2.6
681,6.91,0.0,29.9,1.8
682,21.29,0.0,26.3,8.4
683,20.17,0.0,29.7,7.3
684,5.81,0.0,28.0,3.2
685,44.83,0.0,26.4,2.8
686,15.46,0.0,28.4,9.6
687,10.60,0.0,24.4,8.0
688,25.01,0.0,27.8,9.7
689,8.91,0.0,24.5,6.3
690,26.69,0.0,20.4,6.6
691,6.01,0.0,24.5,1.3
692,10.66,0.0,21.8,3.6
693,11.56,0.0,19.9,15.1
694,8.79,0.0,20.0,3.2
695,7.83,0.0,14.5,5.1
696,9.10,0.0,17.1,11.4
697,8.85,0.0,21.9,7.6
698,9.19,0.0,18.9,2.5
699,28.80,0.0,18.5,2.2
700,15.80,0.0,20.8,11.8
701,11.56,0.0,20.1,7.0
702,19.28,0.0,25.4,5.5
703,11.51,0.0,23.6,6.1
704,7.57,0.0,23.1,3.6
705,4.65,0.0,26.8,2.6
706,22.05,0.0,28.8,5.8
707,3.20,0.0,28.9,3.1
708,4.93,0.0,25.9,3.1
709,16.49,0.0,26.4,3.6
710,12.06,0.0,24.1,7.2
711,29.24,0.0,27.6,2.9
712,8.28,0.0,26.2,2.8
713,19.33,0.0,25.1,2.5
714,10.96,0.0,22.3,4.1
715,16.94,0.0,18.9,8.2
716,13.49,0.0,19.3,4.1
717,16.48,0.0,21.1,4.5
718,13.86,0.0,19.2,5.0
719,14.53,0.0,15.6,3.7
720,6.34,0.0,17.6,2.6
721,12.75,0.0,19.0,3.5
722,17.49,0.0,18.5,3.2
723,11.81,0.0,17.3,4.2
724,11.46,0.0,19.8,3.4
725,3.94,0.0,20.6,5.1
726,30.58,0.0,23.1,4.2
727,5.36,0.0,24.7,3.1
728,8.41,0.0,24.5,10.7
729,7.59,0.0,27.5,6.0
730,14.56,0.0,29.8,4.0
731,14.96,0.0,32.5,3.2
732,18.09,0.0,26.6,7.8
733,18.58,0.0,27.9,2.7
734,34.26,0.0,24.6,10.4
735,10.14,0.0,25.8,1.9
736,7.40,0.0,27.4,23.6
737,10.58,0.0,20.9,3.5
738,6.28,0.0,22.4,2.1
739,9.90,0.0,21.7,3.0
740,4.80,0.0,18.2,3.7
741,7.38,0.0,20.0,3.2
742,4.43,0.0,19.1,5.5
743,25.16,0.0,17.3,5.3
744,13.02,0.0,19.0,30.1
745,37.64,0.0,16.9,4.7
746,23.72,0.0,19.4,2.0
747,25.17,0.0,19.5,4.0
748,11.20,0.0,20.9,4.9
749,16.35,0.0,21.3,3.3
750,7.11,0.0,21.0,6.6
751,8.85,0.0,22.2,7.1
752,12.29,0.0,24.4,3.1
753,4.29,0.0,25.7,3.6
754,8.99,0.0,27.7,1.4
755,19.60,0.0,27.8,2.7
756,9.08,0.0,27.3,3.8
757,7.83,0.0,24.8,4.9
758,9.67,0.0,26.3,4.1
759,19.08,0.0,24.8,2.7
760,15.13,0.0,28.1,8.7
761,10.64,0.0,24.4,8.2
762,12.31,0.0,25.4,8.7
763,20.37,0.0,21.8,11.4
764,26.69,0.0,23.3,2.5
765,9.16,0.0,19.9,5.8
766,11.59,0.0,19.2,7.7
767,25.71,0.0,21.1,17.5
768,16.67,0.0,16.9,11.0
769,5.25,0.0,17.2,3.8
770,7.13,0.0,18.9,1.7
771,7.26,0.0,23.8,2.2
772,9.49,0.0,19.9,6.7
