time_s,atm_loss_db_km,visibility_km,rain_rate_mmhr,cn2
1960,0.0548,5.88,4.7,6.73e-15
1970,0.0549,4.38,4.6,5.41e-15
1980,0.0546,5.16,4.6,5.66e-15
1990,0.0543,4.62,5.1,5.77e-15
2000,0.0556,5.89,5.8,6.09e-15
2010,0.0530,4.94,5.4,3.34e-15
2020,0.0536,4.01,5.1,4.34e-15
2030,0.0540,4.73,4.1,2.94e-15
2040,0.0517,5.32,4.4,4.61e-15
2050,0.0516,4.79,4.8,2.93e-15
2060,0.0531,4.61,4.4,7.16e-15
2070,0.0526,4.47,4.2,6.35e-15
2080,0.0514,4.34,4.3,6.46e-15
2090,0.0513,4.96,6.7,3.84e-15
2100,0.0512,5.38,4.4,4.50e-15
2110,0.0498,5.44,5.1,4.58e-15
2120,0.0489,6.01,4.4,5.26e-15
2130,0.0493,4.89,6.0,6.17e-15
2140,0.0474,5.60,4.1,3.69e-15
2150,0.0471,5.14,4.8,5.23e-15
2160,0.0473,4.70,4.9,3.96e-15
2170,0.0468,5.22,4.7,6.77e-15
2180,0.0470,5.60,4.7,2.49e-15
2190,0.0446,5.34,5.3,5.67e-15
2200,0.0459,3.76,5.1,4.25e-15
2210,0.0451,4.91,5.2,8.77e-15
2220,0.0456,5.16,5.5,4.87e-15
2230,0.0457,3.95,4.6,3.79e-15
2240,0.0447,5.40,5.1,6.22e-15
2250,0.0436,5.64,5.0,4.13e-15
2260,0.0437,5.18,5.1,5.79e-15
2270,0.0456,5.54,5.2,4.88e-15
2280,0.0457,4.83,5.1,5.52e-15
2290,0.0444,4.29,4.4,2.69e-15
2300,0.0452,5.95,4.7,6.00e-15
2310,0.0476,4.93,4.9,6.32e-15
2320,0.0463,5.02,5.0,4.71e-15
2330,0.0472,4.64,5.2,4.22e-15
2340,0.0485,6.05,6.0,7.75e-15
2350,0.0476,4.24,5.3,5.21e-15
2360,0.0482,4.98,4.7,3.28e-15
2370,0.0498,4.73,4.4,4.90e-15
2380,0.0513,5.93,5.1,5.36e-15
2390,0.0482,5.18,5.5,3.79e-15
2400,0.0518,5.03,5.5,6.28e-15
2410,0.0498,5.74,4.6,5.10e-15
2420,0.0517,4.96,4.8,5.76e-15
2430,0.0513,5.05,5.7,6.63e-15
2440,0.0522,5.19,5.7,4.49e-15
2450,0.0524,4.94,5.5,5.07e-15
2460,0.0540,5.33,4.8,4.63e-15
2470,0.0532,4.81,5.4,4.42e-15
2480,0.0534,5.04,5.7,3.69e-15
2490,0.0553,6.04,4.7,4.18e-15
2500,0.0530,5.35,4.8,5.79e-15
2510,0.0533,5.63,5.1,5.48e-15
2520,0.0539,5.41,5.4,4.81e-15
2530,0.0534,4.63,4.6,3.55e-15
2540,0.0547,4.45,4.4,5.09e-15
2550,0.0534,4.36,5.5,6.77e-15
2560,0.0561,4.36,4.9,4.41e-15
2570,0.0532,4.62,5.2,5.03e-15
2580,0.0535,4.54,4.7,6.18e-15
2590,0.0555,5.40,5.3,3.91e-15
2600,0.0526,4.09,5.1,5.17e-15
2610,0.0552,4.74,5.4,6.73e-15
2620,0.0541,4.79,4.9,6.21e-15
2630,0.0514,4.89,5.3,4.68e-15
2640,0.0526,3.82,6.0,4.64e-15
2650,0.0508,4.56,5.1,5.10e-15
2660,0.0518,4.94,4.9,4.51e-15
2670,0.0514,5.11,4.0,5.98e-15
2680,0.0500,4.81,4.9,3.50e-15
2690,0.0505,4.53,4.6,6.37e-15
2700,0.0494,5.37,4.4,6.58e-15
2710,0.0495,5.27,5.3,5.63e-15
2720,0.0478,5.80,4.4,5.52e-15
2730,0.0482,5.01,5.3,3.46e-15
2740,0.0493,4.73,5.4,2.33e-15
2750,0.0472,5.45,4.5,3.36e-15
2760,0.0481,4.07,5.0,4.32e-15
2770,0.0461,5.82,5.4,4.09e-15
2780,0.0448,4.91,4.8,5.63e-15
2790,0.0473,4.22,5.2,3.42e-15
2800,0.0456,5.50,4.4,4.66e-15
2810,0.0447,4.33,4.9,4.09e-15
2820,0.0448,6.41,4.8,5.32e-15
2830,0.0441,5.81,4.5,5.16e-15
2840,0.0459,5.12,4.3,4.10e-15
2850,0.0452,4.86,4.9,4.55e-15
2860,0.0459,5.74,4.4,4.06e-15
2870,0.0458,5.41,4.9,6.52e-15
2880,0.0447,5.59,5.4,6.85e-15
2890,0.0439,4.51,5.5,5.30e-15
2900,0.0453,4.76,5.3,6.87e-15
2910,0.0460,5.01,4.9,7.28e-15
2920,0.0473,4.40,5.7,5.90e-15
2930,0.0462,5.00,5.2,4.84e-15
2940,0.0470,5.28,5.0,4.51e-15
2950,0.0467,4.80,5.2,4.77e-15
2960,0.0492,5.98,4.8,4.15e-15
2970,0.0482,5.11,5.7,5.61e-15
2980,0.0481,5.22,5.6,5.04e-15
2990,0.0475,4.53,6.1,7.83e-15
3000,0.0502,5.24,5.6,4.08e-15
3010,0.0499,4.70,5.6,5.62e-15
3020,0.0504,4.47,4.4,5.75e-15
3030,0.0504,4.95,4.3,5.20e-15
3040,0.0524,4.98,4.8,5.58e-15
3050,0.0527,5.09,4.4,2.44e-15
3060,0.0558,5.12,5.8,6.46e-15
3070,0.0526,4.58,5.2,5.38e-15
3080,0.0532,3.88,5.0,7.24e-15
3090,0.0532,5.21,5.7,3.93e-15
3100,0.0540,4.18,5.1,5.11e-15
3110,0.0561,4.95,4.4,4.81e-15
3120,0.0562,4.74,5.3,5.07e-15
3130,0.0536,5.58,5.7,5.10e-15
3140,0.0553,4.11,4.3,5.56e-15
3150,0.0546,5.78,5.2,5.66e-15
3160,0.0541,4.81,4.4,4.90e-15
3170,0.0537,5.76,5.4,2.57e-15
3180,0.0551,4.83,5.0,7.43e-15
3190,0.0545,3.32,5.5,3.37e-15
3200,0.0537,4.79,4.8,3.61e-15
3210,0.0534,5.62,5.1,6.19e-15
3220,0.0517,4.84,4.8,2.16e-15
3230,0.0525,5.57,6.4,6.61e-15
3240,0.0550,5.51,4.9,8.07e-15
3250,0.0514,4.69,5.0,4.27e-15
3260,0.0506,5.35,5.1,8.16e-15
3270,0.0529,4.66,5.3,6.73e-15
3280,0.0496,5.70,5.2,4.38e-15
3290,0.0486,4.74,4.6,4.73e-15
3300,0.0511,4.70,4.5,5.86e-15
3310,0.0505,4.74,4.2,2.04e-15
3320,0.0491,4.68,5.2,6.53e-15
3330,0.0476,4.71,4.9,6.59e-15
3340,0.0476,4.88,4.5,6.53e-15
3350,0.0459,4.86,4.9,6.01e-15
3360,0.0473,4.72,4.3,3.70e-15
3370,0.0472,5.02,6.5,3.46e-15
3380,0.0454,4.68,4.6,5.82e-15
3390,0.0467,4.62,4.2,3.83e-15
3400,0.0459,4.41,4.6,5.53e-15
3410,0.0466,4.10,5.3,5.16e-15
3420,0.0455,4.29,5.2,3.91e-15
3430,0.0454,5.81,5.3,3.76e-15
3440,0.0446,5.46,4.3,4.24e-15
3450,0.0438,4.16,4.7,7.13e-15
3460,0.0463,5.56,5.9,3.93e-15
3470,0.0431,4.47,5.6,3.06e-15
3480,0.0442,4.38,4.6,6.13e-15
3490,0.0452,5.40,5.8,4.42e-15
3500,0.0460,5.30,4.4,6.08e-15
3510,0.0476,4.41,5.1,5.05e-15
3520,0.0452,4.23,4.5,3.43e-15
3530,0.0466,5.03,5.7,3.79e-15
3540,0.0472,4.65,4.9,4.47e-15
3550,0.0466,5.34,5.3,5.84e-15
3560,0.0478,4.98,5.7,5.91e-15
3570,0.0480,5.52,4.3,4.79e-15
3580,0.0493,4.90,4.9,6.31e-15
3590,0.0496,4.44,4.9,4.94e-15
