time_s,atm_loss_db_km,visibility_km,rain_rate_mmhr,cn2
2100,0.2989,1.13,0.9,5.26e-16
2110,0.2930,1.00,0.0,3.79e-16
2120,0.3032,0.90,0.3,4.01e-16
2130,0.3014,0.95,0.0,5.19e-16
2140,0.2825,0.86,0.1,3.74e-16
2150,0.2872,0.89,0.0,3.54e-16
2160,0.2881,1.00,0.0,4.78e-16
2170,0.2865,1.10,0.1,4.99e-16
2180,0.2726,0.92,0.0,6.01e-16
2190,0.2754,1.06,0.0,4.96e-16
2200,0.2731,1.14,0.2,3.09e-16
2210,0.2765,0.92,0.2,4.73e-16
2220,0.2738,1.10,0.5,5.02e-16
2230,0.2722,1.06,0.1,5.05e-16
2240,0.2852,1.01,0.3,4.14e-16
2250,0.2776,1.04,0.0,4.86e-16
2260,0.2718,1.20,0.0,5.75e-16
2270,0.2663,0.94,0.0,5.38e-16
2280,0.2847,1.24,0.0,4.48e-16
2290,0.2782,0.90,0.0,6.45e-16
2300,0.2778,1.06,0.0,4.66e-16
2310,0.2745,1.02,0.0,5.89e-16
2320,0.2739,1.16,0.9,4.16e-16
2330,0.2731,1.09,0.0,5.26e-16
2340,0.2838,1.05,0.0,5.64e-16
2350,0.2891,1.00,0.0,3.69e-16
2360,0.2792,0.86,0.1,2.94e-16
2370,0.3022,1.02,0.4,1.34e-16
2380,0.2915,1.02,0.5,4.73e-16
2390,0.2901,0.84,0.1,5.53e-16
2400,0.2989,0.99,0.1,4.73e-16
2410,0.2992,0.89,0.2,3.51e-16
2420,0.3083,0.89,0.0,7.18e-16
2430,0.3169,0.90,0.3,1.50e-16
2440,0.3067,1.05,0.0,6.03e-16
2450,0.3158,1.00,0.1,3.55e-16
2460,0.3177,0.97,0.5,9.12e-17
2470,0.3252,0.97,0.0,8.41e-16
2480,0.3163,1.00,0.5,3.75e-16
2490,0.3117,1.03,0.0,6.85e-16
2500,0.3218,0.89,0.0,5.52e-16
2510,0.3273,0.87,0.0,8.11e-16
2520,0.3313,1.11,0.0,7.78e-16
2530,0.3340,1.15,0.2,5.48e-16
2540,0.3314,0.96,0.0,5.43e-16
2550,0.3058,0.89,0.6,6.88e-16
2560,0.3397,0.98,0.0,6.01e-16
2570,0.3268,1.05,0.0,4.27e-16
2580,0.3198,0.98,0.0,5.43e-16
2590,0.3281,0.81,0.6,2.72e-16
2600,0.3350,0.80,0.0,5.04e-16
2610,0.3271,1.13,0.0,6.12e-16
2620,0.3204,1.15,0.4,5.26e-16
2630,0.3257,1.02,0.5,7.94e-16
2640,0.3264,0.93,0.1,4.89e-16
2650,0.3137,0.98,0.0,4.01e-16
2660,0.3096,0.94,0.1,4.51e-16
2670,0.2958,1.20,0.2,3.55e-16
2680,0.3037,0.83,0.3,2.44e-16
2690,0.3027,0.94,0.0,2.25e-16
2700,0.3015,0.93,0.7,3.63e-16
2710,0.3028,1.10,0.0,4.84e-16
2720,0.2955,1.06,0.0,5.33e-16
2730,0.2992,1.08,0.0,5.71e-16
2740,0.2995,1.13,0.5,4.33e-16
2750,0.2840,0.98,0.5,5.08e-16
2760,0.2763,1.12,0.0,4.32e-16
2770,0.2803,0.92,0.7,2.65e-16
2780,0.2824,0.97,0.0,6.23e-16
2790,0.2641,1.09,0.4,4.41e-16
2800,0.2726,0.87,0.4,3.05e-16
2810,0.2711,0.90,0.0,5.71e-16
2820,0.2780,0.93,0.0,4.62e-16
2830,0.2726,1.04,0.1,4.75e-16
2840,0.2678,1.11,0.0,2.19e-16
2850,0.2751,1.03,0.4,7.23e-16
2860,0.2774,0.90,0.0,6.84e-16
2870,0.2665,0.99,0.4,6.39e-16
2880,0.2854,0.96,0.0,5.89e-16
2890,0.2657,0.81,0.2,5.95e-16
2900,0.2819,0.96,0.0,4.37e-16
2910,0.2787,1.03,0.0,7.83e-16
2920,0.2754,0.92,0.3,5.11e-16
2930,0.2773,0.79,0.0,4.94e-16
2940,0.2739,0.94,0.3,3.85e-16
2950,0.2854,0.91,0.0,7.20e-16
2960,0.2852,1.04,1.1,3.99e-16
2970,0.2857,1.02,0.0,4.71e-16
2980,0.2905,0.99,0.4,4.64e-16
2990,0.3064,1.05,0.3,4.56e-16
3000,0.2968,0.94,0.3,4.79e-16
3010,0.3048,0.89,0.0,7.00e-16
3020,0.3219,1.13,0.2,5.27e-16
3030,0.3130,0.89,0.3,7.45e-16
3040,0.3080,0.93,0.6,2.90e-16
3050,0.3142,0.99,0.6,3.00e-16
3060,0.3192,0.92,0.0,5.80e-16
3070,0.3266,0.94,0.0,4.60e-16
3080,0.3170,0.99,0.9,4.08e-16
3090,0.3303,1.00,0.2,2.87e-16
3100,0.3249,1.12,0.6,5.39e-16
3110,0.3225,1.01,0.0,2.36e-16
3120,0.3353,1.09,0.0,4.05e-16
3130,0.3337,1.12,0.0,8.03e-16
3140,0.3270,1.05,0.3,6.91e-16
3150,0.3217,0.98,0.0,4.33e-16
3160,0.3277,1.02,0.0,4.86e-16
3170,0.3387,0.97,0.0,6.16e-16
3180,0.3189,0.87,0.0,5.83e-16
3190,0.3388,0.91,1.0,5.25e-16
3200,0.3236,0.94,0.0,6.90e-16
3210,0.3295,1.12,0.0,4.05e-16
3220,0.3340,1.02,0.1,6.93e-16
3230,0.3182,0.89,0.4,3.26e-16
3240,0.3131,1.17,0.0,5.29e-16
3250,0.3194,1.01,0.0,1.71e-16
3260,0.3121,0.93,0.0,8.07e-16
3270,0.3033,0.83,0.1,2.42e-16
3280,0.3127,1.05,0.0,4.31e-16
3290,0.3003,1.06,0.0,6.07e-16
3300,0.2911,0.90,0.0,2.95e-16
3310,0.2952,0.96,0.0,5.14e-16
3320,0.2980,1.05,0.0,6.19e-16
3330,0.2977,1.06,0.4,2.76e-16
3340,0.2918,1.10,0.0,4.59e-16
3350,0.2953,1.15,1.0,5.41e-16
3360,0.2818,1.08,0.0,5.86e-16
3370,0.2764,0.96,0.0,1.90e-16
3380,0.2878,1.15,0.3,3.74e-16
3390,0.2739,0.91,0.6,5.70e-16
3400,0.2749,1.10,0.0,4.72e-16
3410,0.2834,0.98,0.0,3.52e-16
3420,0.2719,1.04,0.0,4.47e-16
3430,0.2686,0.87,0.0,3.99e-16
3440,0.2757,0.78,0.9,6.37e-16
3450,0.2765,0.98,0.0,2.15e-16
3460,0.2730,0.84,1.2,5.49e-16
3470,0.2647,1.00,0.0,1.56e-16
3480,0.2716,0.89,0.0,5.33e-16
3490,0.2762,1.16,0.2,5.90e-16
3500,0.2716,1.06,0.5,5.64e-16
3510,0.2832,1.10,0.0,4.36e-16
3520,0.2800,0.98,0.0,5.32e-16
3530,0.2801,0.78,0.0,1.57e-16
3540,0.2912,1.05,0.0,5.27e-16
3550,0.2946,0.98,0.2,5.18e-16
3560,0.2967,1.01,0.0,6.70e-16
3570,0.2824,0.92,0.3,4.90e-16
3580,0.3030,0.95,1.3,3.73e-16
3590,0.2977,1.15,0.3,4.94e-16
