time_s,atm_loss_db_km,visibility_km,rain_rate_mmhr,cn2
1030,0.4504,0.20,0.7,1.01e-16
1040,0.4630,0.22,0.0,7.05e-17
1050,0.4424,0.20,0.0,8.42e-17
1060,0.4473,0.20,0.0,7.10e-17
1070,0.4532,0.22,0.0,3.94e-17
1080,0.4405,0.16,0.2,8.06e-17
1090,0.4458,0.17,0.2,1.09e-16
1100,0.4431,0.17,0.0,1.30e-16
1110,0.4594,0.22,0.0,8.06e-17
1120,0.4633,0.22,0.0,5.64e-17
1130,0.4574,0.19,0.3,1.07e-16
1140,0.4551,0.23,0.1,1.01e-16
1150,0.4797,0.19,0.5,6.46e-17
1160,0.4663,0.18,0.0,1.56e-16
1170,0.4953,0.19,0.0,1.03e-16
1180,0.4939,0.24,0.4,9.45e-17
1190,0.5023,0.17,0.4,8.04e-17
1200,0.5022,0.24,0.0,1.35e-16
1210,0.4906,0.17,0.0,9.73e-17
1220,0.5144,0.19,0.0,1.34e-16
1230,0.5072,0.18,0.7,8.39e-17
1240,0.5217,0.19,0.0,4.84e-17
1250,0.5305,0.16,0.0,8.72e-17
1260,0.5325,0.24,0.0,1.09e-16
1270,0.5197,0.19,1.0,1.27e-16
1280,0.5414,0.21,0.2,1.03e-16
1290,0.5378,0.19,0.2,1.01e-16
1300,0.5330,0.17,0.0,1.01e-16
1310,0.5515,0.21,0.8,1.20e-16
1320,0.5577,0.20,0.2,1.04e-16
1330,0.5557,0.23,0.2,9.35e-17
1340,0.5754,0.22,0.0,4.23e-17
1350,0.5413,0.21,0.0,1.31e-16
1360,0.5543,0.19,0.3,1.56e-16
1370,0.5324,0.21,0.0,1.22e-16
1380,0.5805,0.21,0.0,1.13e-16
1390,0.5473,0.21,0.7,7.15e-17
1400,0.5564,0.19,0.0,9.85e-17
1410,0.5562,0.19,0.0,1.30e-16
1420,0.5404,0.18,0.0,9.91e-17
1430,0.5306,0.23,0.0,9.47e-17
1440,0.5381,0.17,0.2,1.49e-16
1450,0.5115,0.19,0.2,1.14e-16
1460,0.5224,0.20,0.6,9.09e-17
1470,0.4914,0.20,0.9,1.02e-16
1480,0.5155,0.19,0.2,1.24e-16
1490,0.4963,0.21,0.0,1.07e-16
1500,0.5134,0.17,0.0,8.76e-17
1510,0.4864,0.20,0.1,5.90e-17
1520,0.4923,0.21,0.0,1.10e-16
1530,0.4702,0.22,0.0,1.21e-16
1540,0.4796,0.17,1.1,3.32e-17
1550,0.4643,0.21,0.0,1.57e-16
1560,0.4563,0.20,0.0,9.85e-17
1570,0.4657,0.22,0.4,6.93e-17
1580,0.4578,0.22,0.0,1.09e-16
1590,0.4666,0.20,0.4,6.61e-17
1600,0.4619,0.22,0.0,1.07e-16
1610,0.4522,0.20,0.3,8.09e-17
1620,0.4690,0.18,0.0,1.06e-16
1630,0.4518,0.18,1.3,7.04e-17
1640,0.4283,0.20,0.9,8.28e-17
1650,0.4450,0.20,0.2,1.58e-16
1660,0.4692,0.21,0.0,8.52e-17
1670,0.4536,0.20,0.2,1.09e-16
1680,0.4579,0.17,0.0,1.34e-16
1690,0.4449,0.20,0.0,1.08e-16
1700,0.4518,0.17,0.5,1.07e-16
1710,0.4402,0.18,0.1,1.70e-16
1720,0.4679,0.17,0.0,1.03e-16
1730,0.4677,0.20,0.0,9.40e-17
1740,0.4647,0.22,0.6,1.60e-16
1750,0.4766,0.21,0.0,1.43e-16
1760,0.4594,0.18,0.0,1.12e-16
1770,0.4793,0.23,0.1,1.18e-16
1780,0.4946,0.20,0.0,1.37e-16
1790,0.4803,0.22,0.0,8.39e-17
1800,0.4985,0.21,0.1,1.38e-16
1810,0.4952,0.22,0.6,3.13e-17
1820,0.5229,0.17,0.1,5.89e-17
1830,0.5119,0.19,0.2,1.38e-16
1840,0.5026,0.17,0.2,1.18e-16
1850,0.5341,0.19,0.0,8.64e-17
1860,0.5317,0.18,0.2,9.93e-17
1870,0.5352,0.20,0.3,1.07e-16
1880,0.5405,0.22,0.0,1.30e-16
1890,0.5431,0.22,0.0,1.03e-16
1900,0.5277,0.21,0.0,1.21e-16
1910,0.5402,0.17,0.2,1.00e-16
1920,0.5385,0.21,0.0,1.22e-16
1930,0.5589,0.18,0.0,1.19e-16
1940,0.5632,0.19,0.0,1.28e-16
1950,0.5488,0.19,0.1,1.26e-16
1960,0.5598,0.22,0.0,1.15e-16
1970,0.5294,0.22,0.0,1.62e-16
1980,0.5463,0.22,0.5,1.31e-16
1990,0.5547,0.18,0.0,8.26e-17
2000,0.5457,0.20,0.5,7.95e-17
2010,0.5392,0.17,0.2,6.19e-17
2020,0.5232,0.22,0.0,9.52e-17
2030,0.5205,0.18,0.0,5.78e-17
2040,0.5171,0.21,0.0,1.09e-16
2050,0.5254,0.20,0.0,1.02e-16
2060,0.5154,0.20,0.0,4.66e-17
2070,0.5230,0.21,0.8,1.01e-16
2080,0.4997,0.23,0.0,8.62e-17
2090,0.5059,0.22,0.0,1.38e-16
2100,0.4908,0.19,0.6,7.50e-17
2110,0.4923,0.21,0.1,1.60e-16
2120,0.4777,0.20,0.0,1.03e-16
2130,0.4715,0.22,0.0,1.09e-16
2140,0.4761,0.18,0.1,1.57e-16
2150,0.4633,0.21,0.0,8.39e-17
2160,0.4820,0.21,0.0,1.01e-16
2170,0.4691,0.21,1.1,5.16e-17
2180,0.4653,0.22,0.1,1.38e-16
2190,0.4487,0.17,0.1,1.09e-16
2200,0.4401,0.19,0.1,1.28e-16
2210,0.4344,0.19,0.0,6.34e-17
2220,0.4644,0.24,0.0,1.15e-16
2230,0.4409,0.18,0.0,1.29e-16
2240,0.4530,0.18,0.7,5.33e-17
2250,0.4574,0.22,0.0,1.01e-16
2260,0.4589,0.20,0.4,1.06e-16
2270,0.4611,0.20,0.0,1.33e-16
2280,0.4672,0.16,0.1,1.13e-16
2290,0.4497,0.20,0.5,3.89e-17
2300,0.4407,0.23,0.0,1.32e-16
2310,0.4792,0.21,0.0,1.21e-16
2320,0.4725,0.19,0.3,6.55e-17
2330,0.4576,0.20,0.2,7.24e-17
2340,0.4686,0.17,0.0,5.86e-17
2350,0.4732,0.20,0.0,9.87e-17
2360,0.4793,0.21,0.0,9.59e-17
2370,0.4641,0.17,0.2,9.83e-17
2380,0.4711,0.24,0.4,7.39e-17
2390,0.5068,0.14,0.4,8.20e-17
2400,0.5086,0.19,0.0,6.12e-17
2410,0.4952,0.20,0.0,5.83e-17
2420,0.4924,0.19,0.0,1.43e-16
2430,0.4925,0.18,0.5,9.61e-17
2440,0.5235,0.20,0.1,8.94e-17
2450,0.5270,0.21,0.0,7.73e-17
2460,0.5211,0.19,0.0,6.68e-17
2470,0.5260,0.20,0.0,1.24e-16
2480,0.5328,0.18,0.0,9.60e-17
2490,0.5471,0.20,0.0,1.05e-16
2500,0.5459,0.21,0.3,1.03e-16
2510,0.5526,0.20,0.0,9.30e-17
2520,0.5702,0.22,0.0,1.47e-16
2530,0.5407,0.19,0.1,1.07e-16
2540,0.5491,0.19,0.0,1.70e-17
2550,0.5406,0.20,0.0,7.84e-17
2560,0.5461,0.18,0.0,1.27e-16
2570,0.5375,0.23,0.0,6.61e-17
2580,0.5403,0.22,0.3,1.22e-16
2590,0.5329,0.20,0.3,1.70e-16
2600,0.5345,0.23,0.5,5.99e-17
2610,0.5530,0.19,0.0,1.47e-16
2620,0.5363,0.17,0.0,7.29e-17
2630,0.5217,0.20,0.0,1.17e-16
2640,0.5176,0.21,0.0,6.04e-18
2650,0.5109,0.21,0.0,1.10e-16
2660,0.5019,0.22,0.3,6.78e-17
2670,0.5144,0.20,0.3,8.07e-17
2680,0.5038,0.21,0.0,7.39e-17
2690,0.5098,0.21,0.0,9.21e-17
2700,0.4876,0.19,0.0,6.79e-17
2710,0.5021,0.23,0.0,1.41e-16
2720,0.4793,0.24,0.6,7.29e-17
2730,0.4789,0.19,0.0,4.17e-17
2740,0.4818,0.20,0.5,1.03e-16
2750,0.4688,0.19,0.1,1.09e-16
2760,0.4689,0.16,0.5,7.45e-17
2770,0.4638,0.20,0.3,1.34e-16
2780,0.4671,0.20,0.8,1.16e-16
2790,0.4517,0.23,0.1,1.06e-16
2800,0.4454,0.17,0.0,5.91e-17
2810,0.4548,0.24,0.0,1.15e-16
2820,0.4449,0.21,0.2,8.48e-17
2830,0.4577,0.24,1.0,6.80e-17
2840,0.4458,0.21,0.1,2.94e-17
2850,0.4558,0.19,0.0,1.53e-16
2860,0.4582,0.19,0.1,6.63e-17
2870,0.4576,0.17,0.1,1.37e-16
2880,0.4579,0.19,0.0,9.17e-17
2890,0.4418,0.20,0.4,8.96e-17
2900,0.4640,0.22,0.1,7.16e-17
2910,0.4590,0.18,0.0,8.43e-17
2920,0.4530,0.18,0.1,7.79e-17
2930,0.4443,0.18,0.6,9.32e-17
2940,0.4820,0.17,0.2,2.43e-17
2950,0.4692,0.21,0.0,1.02e-16
2960,0.4748,0.23,0.4,1.01e-16
2970,0.4782,0.23,0.3,9.64e-17
2980,0.4885,0.20,0.0,8.75e-17
2990,0.5073,0.17,0.2,7.46e-17
3000,0.5075,0.23,0.0,9.97e-17
3010,0.5072,0.22,0.8,1.10e-16
3020,0.5178,0.18,0.3,8.42e-17
3030,0.5199,0.21,0.0,1.19e-16
3040,0.5217,0.21,0.0,5.74e-17
3050,0.5127,0.18,0.5,7.84e-17
3060,0.5245,0.18,0.0,7.09e-17
3070,0.5302,0.19,0.1,8.14e-17
3080,0.5286,0.18,0.2,7.45e-17
3090,0.5402,0.21,0.2,9.16e-17
3100,0.5367,0.21,0.0,7.04e-17
3110,0.5628,0.18,0.5,1.66e-16
3120,0.5365,0.19,0.0,1.15e-16
3130,0.5583,0.21,0.5,5.10e-17
3140,0.5135,0.18,0.0,1.46e-16
3150,0.5538,0.23,0.0,1.55e-16
3160,0.5341,0.21,0.7,1.68e-16
3170,0.5518,0.20,0.4,7.21e-17
3180,0.5596,0.21,0.0,7.03e-17
3190,0.5446,0.20,0.1,1.43e-16
3200,0.5316,0.20,0.0,1.17e-16
3210,0.5395,0.20,0.0,1.10e-16
3220,0.5386,0.23,0.0,5.44e-17
3230,0.5340,0.19,0.0,5.69e-17
3240,0.5167,0.20,0.3,1.16e-16
3250,0.5386,0.19,0.3,7.91e-17
3260,0.5198,0.19,0.0,1.01e-16
3270,0.5043,0.18,0.0,1.05e-16
3280,0.5064,0.21,0.2,1.10e-16
3290,0.5158,0.20,0.7,8.31e-17
3300,0.5045,0.23,0.5,9.26e-17
3310,0.4865,0.22,0.0,1.31e-16
3320,0.4818,0.22,0.8,1.52e-16
3330,0.4836,0.20,0.2,1.11e-16
3340,0.4897,0.19,0.0,1.18e-16
3350,0.4560,0.20,0.0,1.30e-16
3360,0.4753,0.22,0.3,1.25e-16
3370,0.4771,0.23,0.4,3.27e-17
3380,0.4779,0.17,0.0,6.45e-17
3390,0.4675,0.21,0.4,1.01e-16
3400,0.4549,0.23,0.4,1.36e-16
3410,0.4679,0.20,0.0,1.34e-16
3420,0.4623,0.23,0.0,8.74e-17
3430,0.4454,0.18,0.0,1.14e-16
3440,0.4463,0.19,0.0,6.26e-17
3450,0.4474,0.19,0.5,7.38e-17
3460,0.4430,0.19,0.0,5.59e-17
3470,0.4648,0.22,0.4,7.08e-17
3480,0.4545,0.24,0.5,9.35e-17
3490,0.4578,0.22,0.0,1.20e-16
3500,0.4564,0.20,0.8,2.32e-17
3510,0.4586,0.15,0.6,6.03e-17
3520,0.4370,0.20,0.1,7.44e-17
3530,0.4644,0.21,0.0,9.53e-17
3540,0.4737,0.21,0.6,1.22e-16
3550,0.4991,0.22,0.0,8.72e-17
3560,0.4686,0.20,0.0,1.16e-16
3570,0.4625,0.18,0.0,1.11e-16
3580,0.5002,0.18,0.0,6.95e-17
3590,0.5131,0.18,0.0,1.01e-16
