voltage_V,current_A
0.0291,5.690984e-06
0.0372,8.654746e-06
0.0452,1.262920e-05
0.0533,1.795900e-05
0.0613,2.510634e-05
0.0693,3.469105e-05
0.0774,4.754429e-05
0.0854,6.478068e-05
0.0935,8.789495e-05
0.1015,1.188916e-04
0.1095,1.604585e-04
0.1176,2.162004e-04
0.1256,2.909512e-04
0.1337,3.911931e-04
0.1417,5.256191e-04
0.1497,7.058865e-04
0.1578,9.476279e-04
0.1658,1.271807e-03
0.1739,1.706536e-03
0.1819,2.289515e-03
0.1899,3.071298e-03
0.1980,4.119682e-03
0.2060,5.525581e-03
0.2141,7.410914e-03
0.2221,9.939174e-03
0.2302,1.332961e-02
0.2382,1.787624e-02
0.2462,2.397334e-02
0.2543,3.214965e-02
0.2623,4.311421e-02
0.2704,5.781785e-02
0.2784,7.753566e-02
0.2864,1.000000e-01
0.2945,1.000000e-01
0.3025,1.000000e-01
0.3106,1.000000e-01
0.3186,1.000000e-01
0.3266,1.000000e-01
0.3347,1.000000e-01
0.3427,1.000000e-01
0.3508,1.000000e-01
0.3588,1.000000e-01
0.3668,1.000000e-01
0.3749,1.000000e-01
0.3829,1.000000e-01
0.3910,1.000000e-01
0.3990,1.000000e-01
0.4070,1.000000e-01
0.4151,1.000000e-01
0.4231,1.000000e-01
0.4312,1.000000e-01
0.4392,1.000000e-01
0.4472,1.000000e-01
0.4553,1.000000e-01
0.4633,1.000000e-01
0.4714,1.000000e-01
0.4794,1.000000e-01
0.4874,1.000000e-01
0.4955,1.000000e-01
0.5035,1.000000e-01
0.5116,1.000000e-01
0.5196,1.000000e-01
0.5276,1.000000e-01
0.5357,1.000000e-01
0.5437,1.000000e-01
0.5518,1.000000e-01
0.5598,1.000000e-01
0.5678,1.000000e-01
0.5759,1.000000e-01
0.5839,1.000000e-01
0.5920,1.000000e-01
0.6000,1.000000e-01
