voltage_V,current_A
-0.4372,-2.200000e-08
-0.4291,-2.200000e-08
-0.4211,-2.199999e-08
-0.4131,-2.199999e-08
-0.4050,-2.199999e-08
-0.3970,-2.199999e-08
-0.3889,-2.199998e-08
-0.3809,-2.199997e-08
-0.3729,-2.199997e-08
-0.3648,-2.199995e-08
-0.3568,-2.199994e-08
-0.3487,-2.199992e-08
-0.3407,-2.199989e-08
-0.3327,-2.199985e-08
-0.3246,-2.199980e-08
-0.3166,-2.199974e-08
-0.3085,-2.199965e-08
-0.3005,-2.199953e-08
-0.2925,-2.199938e-08
-0.2844,-2.199917e-08
-0.2764,-2.199890e-08
-0.2683,-2.199853e-08
-0.2603,-2.199804e-08
-0.2523,-2.199738e-08
-0.2442,-2.199651e-08
-0.2362,-2.199534e-08
-0.2281,-2.199378e-08
-0.2201,-2.199171e-08
-0.2121,-2.198894e-08
-0.2040,-2.198525e-08
-0.1960,-2.198033e-08
-0.1879,-2.197377e-08
-0.1799,-2.196501e-08
-0.1719,-2.195334e-08
-0.1638,-2.193776e-08
-0.1558,-2.191699e-08
-0.1477,-2.188929e-08
-0.1397,-2.185234e-08
-0.1317,-2.180306e-08
-0.1236,-2.173733e-08
-0.1156,-2.164966e-08
-0.1075,-2.153274e-08
-0.0995,-2.137679e-08
-0.0915,-2.116880e-08
-0.0834,-2.089139e-08
-0.0754,-2.052139e-08
-0.0673,-2.002790e-08
-0.0593,-1.936972e-08
-0.0513,-1.849187e-08
-0.0432,-1.732103e-08
-0.0352,-1.575943e-08
-0.0271,-1.367665e-08
-0.0191,-1.089875e-08
-0.0111,-7.193719e-09
-0.0030,-2.252144e-09
0.0050,4.338674e-09
0.0131,1.312917e-08
0.0211,2.485348e-08
0.0291,4.049076e-08
0.0372,6.134696e-08
0.0452,8.916389e-08
0.0533,1.262647e-07
0.0613,1.757478e-07
0.0693,2.417458e-07
0.0774,3.297706e-07
0.0854,4.471736e-07
0.0935,6.037596e-07
0.1015,8.126060e-07
0.1095,1.091154e-06
0.1176,1.462668e-06
0.1256,1.958174e-06
0.1337,2.619054e-06
0.1417,3.500502e-06
0.1497,4.676133e-06
0.1578,6.244127e-06
0.1658,8.335439e-06
0.1739,1.112472e-05
0.1819,1.484492e-05
0.1899,1.980674e-05
0.1980,2.642455e-05
0.2060,3.525105e-05
0.2141,4.702338e-05
0.2221,6.272471e-05
0.2302,8.366633e-05
0.2382,1.115972e-04
0.2462,1.488499e-04
0.2543,1.985357e-04
0.2623,2.648041e-04
0.2704,3.531894e-04
0.2784,4.710732e-04
0.2864,6.283006e-04
0.2945,8.380023e-04
0.3025,1.117692e-03
0.3106,1.490727e-03
0.3186,1.988262e-03
0.3266,2.651849e-03
0.3347,3.536908e-03
0.3427,4.717353e-03
0.3508,6.291770e-03
0.3588,8.391647e-03
0.3668,1.119235e-02
0.3749,1.492779e-02
0.3829,1.990993e-02
0.3910,2.655485e-02
0.3990,3.541750e-02
0.4070,4.723804e-02
0.4151,6.300368e-02
0.4231,8.403108e-02
0.4312,1.000000e-01
0.4392,1.000000e-01
0.4472,1.000000e-01
0.4553,1.000000e-01
0.4633,1.000000e-01
0.4714,1.000000e-01
0.4794,1.000000e-01
0.4874,1.000000e-01
0.4955,1.000000e-01
0.5035,1.000000e-01
0.5116,1.000000e-01
0.5196,1.000000e-01
0.5276,1.000000e-01
0.5357,1.000000e-01
0.5437,1.000000e-01
0.5518,1.000000e-01
0.5598,1.000000e-01
0.5678,1.000000e-01
0.5759,1.000000e-01
0.5839,1.000000e-01
0.5920,1.000000e-01
0.6000,1.000000e-01
