time_us,current_A,voltage_V,di_dt_A_us
107.00,135.7,398.6,-52.9
108.00,134.4,398.4,28.4
109.00,137.8,398.2,-30.6
110.00,136.4,398.0,12.2
111.00,139.2,397.8,24.2
112.00,145.6,397.6,-19.0
113.00,148.1,397.4,-36.0
114.00,145.7,397.2,-10.1
115.00,147.0,397.0,-17.5
116.00,151.3,396.8,-23.0
117.00,153.2,396.6,-23.4
118.00,153.8,396.4,9.5
119.00,150.9,396.2,18.5
120.00,156.4,396.0,6.3
121.00,153.9,395.8,58.3
122.00,161.0,395.6,-12.1
123.00,165.7,395.4,-54.3
124.00,164.4,395.3,-13.7
125.00,166.1,395.1,-21.8
126.00,165.3,394.9,-13.6
127.00,166.3,394.7,-6.7
128.00,167.2,394.5,28.0
129.00,170.7,394.3,19.8
130.00,174.5,394.1,-4.6
131.00,176.0,393.9,-40.8
132.00,176.4,393.7,-24.4
133.00,176.7,393.5,6.0
134.00,180.1,393.3,-16.0
135.00,178.6,393.1,5.0
136.00,180.4,392.9,23.6
137.00,185.5,392.7,-25.9
138.00,185.2,392.5,-9.5
139.00,184.1,392.3,55.3
140.00,188.2,392.1,6.1
141.00,190.7,391.9,-33.8
142.00,197.5,391.7,-57.8
143.00,193.2,391.5,24.6
144.00,194.3,391.3,25.9
145.00,198.1,391.1,-23.1
146.00,202.0,390.9,-21.6
147.00,203.5,390.8,-31.5
148.00,204.2,390.6,-34.2
149.00,199.2,390.4,28.6
150.00,203.7,390.2,-7.8
151.00,209.7,390.0,-64.3
152.00,206.3,389.8,31.8
153.00,211.3,389.6,-29.2
154.00,210.9,389.4,2.9
155.00,210.9,389.2,-0.5
156.00,209.7,389.0,22.4
157.00,217.5,388.8,-26.0
158.00,214.3,388.6,37.6
159.00,217.3,388.4,13.5
160.00,219.2,388.2,24.0
161.00,220.1,388.0,6.3
162.00,221.3,387.9,8.0
163.00,221.0,387.7,13.9
164.00,228.4,387.5,-46.5
165.00,227.4,387.3,-6.5
166.00,227.3,387.1,16.0
167.00,226.6,386.9,41.8
168.00,232.0,386.7,-47.2
169.00,233.4,386.5,1.3
170.00,231.7,386.3,17.8
171.00,231.2,386.1,41.7
172.00,233.7,385.9,21.3
173.00,235.7,385.7,18.7
174.00,240.4,385.5,-35.6
175.00,238.6,385.3,31.0
176.00,241.7,385.2,-16.4
177.00,238.9,385.0,49.6
178.00,245.9,384.8,-33.7
179.00,246.8,384.6,-73.6
180.00,246.0,384.4,24.5
181.00,246.3,384.2,15.4
182.00,246.8,384.0,44.5
183.00,253.2,383.8,-26.7
184.00,252.4,383.6,-22.2
185.00,249.8,383.4,31.0
186.00,255.1,383.2,-37.1
187.00,254.8,383.1,11.4
188.00,257.0,382.9,-23.6
189.00,257.4,382.7,-37.6
190.00,256.1,382.5,16.4
191.00,261.6,382.3,-6.1
192.00,262.4,382.1,-10.5
193.00,261.7,381.9,40.2
194.00,261.9,381.7,-22.8
195.00,262.0,381.5,52.9
196.00,264.4,381.3,5.2
197.00,262.1,381.2,41.7
198.00,273.0,381.0,-68.6
199.00,268.9,380.8,-16.9
200.00,272.2,380.6,-45.7
201.00,269.3,380.4,9.5
202.00,271.6,380.2,14.9
203.00,273.1,380.0,25.6
204.00,277.6,379.8,-42.8
205.00,274.1,379.6,27.7
206.00,273.8,379.5,76.4
207.00,276.1,379.3,6.9
208.00,284.5,379.1,-68.3
209.00,279.4,378.9,-0.4
210.00,286.4,378.7,6.9
211.00,282.9,378.5,-27.9
212.00,285.9,378.3,-12.5
213.00,284.0,378.1,10.7
214.00,284.1,377.9,29.0
215.00,287.0,377.8,19.3
216.00,290.3,377.6,-18.1
217.00,289.6,377.4,-3.3
218.00,288.4,377.2,1.0
219.00,290.6,377.0,21.0
220.00,288.7,376.8,41.2
221.00,296.0,376.6,-24.0
222.00,292.9,376.4,9.6
223.00,298.2,376.3,-10.3
224.00,297.6,376.1,-4.5
225.00,298.5,375.9,-25.8
226.00,298.8,375.7,20.1
227.00,301.1,375.5,-31.5
228.00,302.9,375.3,-44.6
229.00,301.3,375.1,20.7
230.00,303.3,374.9,-1.0
231.00,305.0,374.8,28.9
232.00,305.8,374.6,-7.2
233.00,307.2,374.4,-30.3
234.00,306.7,374.2,-7.5
235.00,313.4,374.0,-48.2
236.00,307.5,373.8,13.1
237.00,314.8,373.6,-14.0
238.00,310.3,373.5,-39.4
239.00,312.2,373.3,-17.5
240.00,313.8,373.1,-26.1
241.00,316.5,372.9,-14.8
242.00,315.6,372.7,-17.4
243.00,314.8,372.5,1.8
244.00,316.0,372.3,-11.2
245.00,315.0,372.2,-18.0
246.00,317.3,372.0,15.5
247.00,321.0,371.8,-29.3
248.00,322.8,371.6,-35.6
249.00,320.0,371.4,-23.0
250.00,323.3,371.2,-8.7
251.00,322.8,371.1,18.3
252.00,322.5,370.9,-31.4
253.00,322.4,370.7,7.3
254.00,325.0,370.5,-89.1
255.00,324.8,370.3,25.9
256.00,327.6,370.1,2.6
257.00,323.8,369.9,14.8
258.00,327.6,369.8,0.6
259.00,329.3,369.6,-15.0
260.00,331.9,369.4,-20.2
261.00,331.6,369.2,-34.6
262.00,330.1,369.0,-11.5
263.00,333.5,368.8,-9.4
264.00,335.5,368.7,-24.1
265.00,333.3,368.5,27.1
266.00,334.6,368.3,-8.6
267.00,335.6,368.1,6.0
268.00,336.0,367.9,7.8
269.00,337.8,367.7,3.4
270.00,336.3,367.6,2.3
271.00,339.6,367.4,-10.3
272.00,340.1,367.2,-25.2
273.00,343.8,367.0,-9.1
274.00,339.8,366.8,-18.8
275.00,345.1,366.6,-32.7
276.00,342.1,366.5,33.4
277.00,345.1,366.3,-5.5
278.00,339.5,366.1,52.6
279.00,345.3,365.9,37.5
280.00,349.8,365.7,-40.9
281.00,348.4,365.6,-2.3
282.00,354.7,365.4,-74.8
283.00,347.2,365.2,1.9
284.00,351.0,365.0,-34.2
285.00,351.0,364.8,-9.5
286.00,352.5,364.6,-25.0
287.00,348.2,364.5,31.8
288.00,351.9,364.3,11.8
289.00,353.9,364.1,-13.6
290.00,350.9,363.9,24.1
291.00,355.9,363.7,-27.8
292.00,354.5,363.6,32.3
293.00,356.5,363.4,-0.3
294.00,356.1,363.2,24.7
295.00,359.8,363.0,-21.0
296.00,356.4,362.8,16.3
297.00,353.0,362.7,51.5
298.00,358.2,362.5,21.7
299.00,361.4,362.3,-11.7
300.00,359.3,362.1,25.1
301.00,360.6,361.9,36.6
302.00,363.8,361.8,-63.1
303.00,364.0,361.6,5.2
304.00,362.6,361.4,1.2
305.00,361.3,361.2,36.9
306.00,364.4,361.0,30.8
307.00,367.5,360.9,-26.5
308.00,366.5,360.7,29.1
309.00,368.1,360.5,-15.7
310.00,365.4,360.3,0.2
311.00,368.7,360.1,-32.5
312.00,365.9,360.0,42.0
313.00,368.6,359.8,15.6
314.00,371.2,359.6,23.1
315.00,368.5,359.4,23.7
316.00,368.6,359.2,35.4
317.00,371.5,359.1,-4.6
318.00,370.3,358.9,44.5
319.00,369.0,358.7,46.1
320.00,376.1,358.5,-31.8
321.00,371.5,358.4,46.2
322.00,374.2,358.2,-1.9
323.00,376.2,358.0,-48.0
324.00,373.2,357.8,30.6
325.00,378.1,357.6,-9.4
326.00,377.3,357.5,14.9
327.00,378.5,357.3,0.4
328.00,382.5,357.1,-23.9
329.00,375.8,356.9,-4.0
330.00,378.2,356.8,-12.5
331.00,378.1,356.6,3.3
332.00,387.7,356.4,-58.5
333.00,380.2,356.2,-20.2
334.00,379.1,356.0,38.0
335.00,381.7,355.9,-12.4
336.00,382.8,355.7,1.3
337.00,382.4,355.5,34.8
338.00,383.3,355.3,19.3
339.00,383.5,355.2,53.4
340.00,383.5,355.0,10.7
341.00,388.5,354.8,-36.1
342.00,385.5,354.6,32.9
343.00,383.0,354.5,11.7
344.00,388.5,354.3,-59.2
345.00,387.9,354.1,1.4
346.00,390.1,353.9,-4.3
347.00,388.8,353.7,41.3
348.00,389.3,353.6,33.5
349.00,392.0,353.4,-3.7
350.00,389.0,353.2,25.1
351.00,390.5,353.0,5.1
352.00,386.4,352.9,53.5
353.00,391.8,352.7,-33.2
354.00,390.3,352.5,44.1
355.00,395.7,352.3,-16.5
356.00,394.8,352.2,-34.5
357.00,388.4,352.0,60.0
358.00,392.9,351.8,-0.1
359.00,394.7,351.6,-14.7
360.00,396.9,351.5,-34.0
361.00,395.0,351.3,18.8
362.00,393.3,351.1,48.1
363.00,396.6,350.9,7.7
364.00,398.1,350.8,-28.8
365.00,397.5,350.6,2.1
366.00,400.4,350.4,-9.2
367.00,397.4,350.2,9.0
368.00,398.0,350.1,-15.9
369.00,400.0,349.9,3.9
370.00,401.7,349.7,3.0
371.00,400.7,349.5,27.1
372.00,396.0,349.4,57.2
373.00,400.2,349.2,21.8
374.00,402.2,349.0,11.4
375.00,402.1,348.9,37.0
376.00,400.9,348.7,11.3
377.00,401.8,348.5,16.9
378.00,403.2,348.3,36.0
379.00,406.2,348.2,-41.4
380.00,401.7,348.0,31.6
381.00,407.8,347.8,11.7
382.00,405.8,347.6,11.3
383.00,406.6,347.5,-14.9
384.00,409.0,347.3,-19.5
385.00,404.6,347.1,20.3
386.00,407.5,346.9,14.7
387.00,408.3,346.8,-42.4
388.00,405.9,346.6,30.9
389.00,409.4,346.4,-43.9
390.00,406.7,346.3,14.7
391.00,410.3,346.1,-17.5
392.00,408.9,345.9,0.2
393.00,408.9,345.7,18.7
394.00,408.5,345.6,-12.8
395.00,410.8,345.4,36.4
396.00,409.0,345.2,15.0
397.00,410.3,345.1,0.6
398.00,412.0,344.9,-35.8
399.00,408.7,344.7,31.3
400.00,417.0,344.5,-46.6
401.00,413.4,344.4,-5.5
402.00,413.7,344.2,-18.4
403.00,410.4,344.0,31.1
404.00,416.0,343.9,1.3
405.00,411.1,343.7,40.2
406.00,413.1,343.5,18.9
407.00,419.9,343.3,-74.8
408.00,414.4,343.2,14.5
409.00,413.1,343.0,64.3
410.00,416.6,342.8,23.1
411.00,415.4,342.7,5.2
412.00,415.8,342.5,45.2
413.00,419.8,342.3,-40.3
414.00,417.7,342.1,7.1
415.00,420.0,342.0,-9.4
416.00,417.8,341.8,-13.3
417.00,418.9,341.6,16.3
418.00,416.4,341.5,15.9
419.00,417.0,341.3,14.6
420.00,416.2,341.1,45.3
421.00,416.3,341.0,19.6
422.00,419.7,340.8,3.0
423.00,420.6,340.6,6.8
424.00,419.6,340.5,54.4
425.00,420.7,340.3,-15.9
426.00,419.8,340.1,-6.4
427.00,422.7,339.9,-4.5
428.00,421.1,339.8,14.6
429.00,424.1,339.6,21.3
430.00,423.5,339.4,7.6
431.00,417.3,339.3,68.8
432.00,425.9,339.1,-8.5
433.00,425.5,338.9,-11.2
434.00,423.7,338.8,-5.6
435.00,427.4,338.6,-7.2
436.00,423.8,338.4,15.5
437.00,424.9,338.3,25.1
438.00,425.0,338.1,5.2
439.00,422.2,337.9,79.0
440.00,425.5,337.8,43.7
441.00,423.2,337.6,57.0
442.00,425.4,337.4,19.5
443.00,427.3,337.2,14.5
444.00,427.8,337.1,0.8
445.00,430.8,336.9,15.8
446.00,424.7,336.7,6.4
447.00,428.7,336.6,-1.3
448.00,428.4,336.4,-15.7
449.00,430.1,336.2,7.0
450.00,426.8,336.1,3.3
451.00,430.9,335.9,23.6
452.00,428.8,335.7,-0.5
453.00,431.0,335.6,5.0
454.00,428.5,335.4,70.6
455.00,436.5,335.2,-40.7
456.00,430.7,335.1,-5.9
457.00,434.9,334.9,-0.9
458.00,434.9,334.7,-35.0
459.00,433.8,334.6,-19.9
460.00,432.1,334.4,-9.2
461.00,430.9,334.2,-8.5
462.00,432.1,334.1,35.6
463.00,433.5,333.9,24.2
464.00,437.5,333.7,-51.3
465.00,437.8,333.6,-55.8
466.00,433.6,333.4,-9.0
467.00,437.1,333.2,-5.2
468.00,434.6,333.1,11.3
469.00,438.6,332.9,-10.5
470.00,432.0,332.7,64.6
471.00,433.0,332.6,80.0
472.00,434.5,332.4,-8.5
473.00,436.1,332.3,-5.5
474.00,439.2,332.1,-38.5
475.00,437.0,331.9,-6.3
476.00,439.3,331.8,12.5
477.00,436.1,331.6,-20.5
478.00,435.8,331.4,28.5
479.00,438.6,331.3,2.8
480.00,437.8,331.1,31.6
481.00,432.2,330.9,51.6
482.00,440.5,330.8,-22.7
483.00,439.8,330.6,-11.0
484.00,439.7,330.4,-1.1
485.00,436.9,330.3,31.3
486.00,439.0,330.1,25.0
487.00,438.5,329.9,18.2
488.00,438.1,329.8,7.8
489.00,441.9,329.6,-44.4
490.00,443.5,329.5,-27.0
491.00,439.6,329.3,39.5
492.00,438.1,329.1,24.2
493.00,443.5,329.0,-41.8
494.00,435.9,328.8,25.1
495.00,439.4,328.6,24.8
496.00,439.9,328.5,17.5
497.00,437.9,328.3,58.1
498.00,445.3,328.1,-3.1
499.00,438.2,328.0,29.5
500.00,444.3,327.8,14.4
501.00,444.4,327.7,-17.2
502.00,445.6,327.5,-4.2
503.00,442.1,327.3,2.0
504.00,442.5,327.2,21.6
505.00,444.8,327.0,18.9
506.00,444.6,326.8,5.2
507.00,445.4,326.7,25.7
508.00,445.7,326.5,-30.3
509.00,442.3,326.4,34.0
510.00,444.6,326.2,-18.5
511.00,446.2,326.0,-22.4
512.00,439.4,325.9,28.3
513.00,446.4,325.7,-6.2
514.00,447.4,325.5,-15.1
515.00,441.9,325.4,38.0
516.00,444.2,325.2,15.4
517.00,448.9,325.1,-40.5
518.00,449.2,324.9,-35.5
519.00,446.0,324.7,10.8
520.00,443.7,324.6,65.3
521.00,442.1,324.4,47.2
522.00,451.1,324.2,-45.4
523.00,446.7,324.1,13.5
524.00,448.5,323.9,-25.7
525.00,448.5,323.8,-15.7
526.00,446.0,323.6,-15.0
527.00,446.5,323.4,36.2
528.00,451.5,323.3,-6.9
529.00,445.0,323.1,8.1
530.00,449.4,323.0,-27.2
531.00,448.8,322.8,-1.0
532.00,444.4,322.6,53.1
533.00,446.8,322.5,5.4
534.00,445.2,322.3,35.7
535.00,446.1,322.2,35.0
536.00,449.8,322.0,-2.9
537.00,452.7,321.8,-25.8
538.00,450.8,321.7,-18.1
539.00,450.7,321.5,-29.6
540.00,450.4,321.4,8.0
541.00,449.4,321.2,-1.7
542.00,452.9,321.0,-15.6
543.00,454.2,320.9,-26.2
544.00,451.0,320.7,0.5
545.00,453.2,320.6,-7.1
546.00,451.4,320.4,33.5
547.00,452.6,320.2,-24.8
548.00,451.7,320.1,16.0
549.00,454.4,319.9,-8.9
550.00,453.7,319.8,-16.6
551.00,454.0,319.6,-33.9
552.00,449.4,319.4,16.0
553.00,452.5,319.3,-19.1
554.00,456.6,319.1,-16.8
555.00,452.5,319.0,-19.0
556.00,453.9,318.8,-3.2
557.00,448.8,318.7,54.7
558.00,456.9,318.5,-32.1
559.00,452.8,318.3,25.0
560.00,451.9,318.2,-10.9
561.00,455.1,318.0,3.3
562.00,454.8,317.9,-31.8
563.00,451.1,317.7,23.4
564.00,454.2,317.5,-41.3
565.00,455.9,317.4,8.8
566.00,455.0,317.2,-15.0
567.00,454.1,317.1,33.1
568.00,454.3,316.9,21.4
569.00,454.7,316.8,-35.0
570.00,457.0,316.6,-24.4
571.00,453.7,316.4,-6.0
572.00,455.6,316.3,-9.9
573.00,455.7,316.1,-0.5
574.00,454.0,316.0,5.7
575.00,457.1,315.8,-40.9
576.00,454.0,315.7,12.8
577.00,455.6,315.5,6.4
578.00,455.8,315.3,-7.3
579.00,454.2,315.2,20.8
580.00,458.0,315.0,-19.3
581.00,458.4,314.9,-38.2
582.00,455.1,314.7,15.6
583.00,458.5,314.6,-4.9
584.00,452.9,314.4,17.1
585.00,456.5,314.2,9.6
586.00,459.8,314.1,-36.1
587.00,461.4,313.9,-10.2
588.00,454.4,313.8,28.1
589.00,454.5,313.6,1.4
590.00,462.0,313.5,-32.7
591.00,456.0,313.3,60.5
592.00,458.1,313.2,-1.1
593.00,462.6,313.0,-42.9
594.00,455.3,312.8,51.2
595.00,456.5,312.7,16.6
596.00,459.8,312.5,-5.3
597.00,458.6,312.4,-10.1
598.00,461.5,312.2,2.0
599.00,459.2,312.1,9.4
600.00,459.9,311.9,-14.4
601.00,456.6,311.8,11.9
602.00,460.1,311.6,-19.6
603.00,459.9,311.4,0.8
604.00,460.2,311.3,-15.8
605.00,455.8,311.1,47.7
606.00,457.7,311.0,49.9
607.00,461.8,310.8,-50.0
608.00,459.3,310.7,3.5
609.00,459.0,310.5,32.5
610.00,458.4,310.4,3.0
611.00,459.6,310.2,34.5
612.00,458.5,310.1,35.1
613.00,460.3,309.9,-13.2
614.00,463.3,309.7,-4.1
615.00,460.9,309.6,-13.9
616.00,462.9,309.4,-29.4
617.00,458.4,309.3,26.3
618.00,457.1,309.1,34.4
619.00,463.9,309.0,-19.2
620.00,459.2,308.8,-4.8
621.00,461.7,308.7,-23.4
622.00,459.8,308.5,67.7
623.00,460.9,308.4,-10.9
624.00,457.7,308.2,35.5
625.00,463.2,308.1,-8.4
626.00,462.0,307.9,16.0
627.00,462.7,307.7,-20.9
628.00,458.4,307.6,29.8
629.00,462.2,307.4,8.6
630.00,462.7,307.3,-42.8
631.00,460.8,307.1,18.8
632.00,462.4,307.0,-23.3
633.00,466.6,306.8,-37.8
634.00,464.0,306.7,-21.9
635.00,464.5,306.5,-48.4
636.00,460.0,306.4,22.7
637.00,465.4,306.2,-28.7
638.00,462.5,306.1,5.5
639.00,463.4,305.9,-20.4
640.00,461.9,305.8,-38.9
641.00,460.3,305.6,4.0
642.00,463.9,305.5,-23.4
643.00,463.3,305.3,54.5
644.00,462.1,305.2,14.7
645.00,464.3,305.0,11.9
646.00,462.6,304.9,-6.9
647.00,462.5,304.7,56.3
648.00,464.9,304.5,-22.0
649.00,464.7,304.4,-2.6
650.00,466.2,304.2,-4.0
651.00,463.4,304.1,57.3
652.00,461.7,303.9,6.2
653.00,465.6,303.8,-30.4
654.00,463.9,303.6,-35.3
655.00,466.1,303.5,2.4
656.00,461.1,303.3,9.4
657.00,463.3,303.2,4.0
658.00,463.5,303.0,50.1
659.00,463.9,302.9,19.2
660.00,467.4,302.7,-21.2
661.00,467.4,302.6,-31.3
662.00,464.7,302.4,0.1
663.00,465.2,302.3,9.4
664.00,463.3,302.1,-8.9
665.00,467.4,302.0,-18.1
666.00,462.5,301.8,8.5
667.00,464.3,301.7,0.6
668.00,463.8,301.5,-1.9
669.00,465.6,301.4,-27.3
670.00,465.0,301.2,30.9
671.00,467.7,301.1,-48.4
672.00,465.8,300.9,2.4
673.00,466.3,300.8,-25.1
674.00,466.8,300.6,-14.6
675.00,468.0,300.5,-39.2
676.00,469.6,300.3,-84.5
677.00,468.2,300.2,-52.1
678.00,464.4,300.0,-13.0
679.00,466.4,299.9,-51.6
680.00,464.3,299.7,32.9
681.00,467.0,299.6,-0.4
682.00,469.1,299.4,-50.5
683.00,466.1,299.3,-7.1
684.00,463.1,299.1,56.7
685.00,467.4,299.0,-25.7
686.00,467.1,298.8,-1.3
687.00,464.3,298.7,-6.7
688.00,464.7,298.5,36.7
689.00,465.3,298.4,54.5
690.00,466.4,298.3,34.6
691.00,466.9,298.1,7.4
692.00,465.6,298.0,44.4
693.00,469.7,297.8,-38.0
694.00,460.5,297.7,44.5
695.00,467.1,297.5,2.1
696.00,468.3,297.4,-54.5
697.00,467.8,297.2,32.3
698.00,467.9,297.1,-12.8
699.00,464.6,296.9,27.8
700.00,464.6,296.8,32.1
701.00,466.2,296.6,11.9
702.00,467.9,296.5,-13.3
703.00,468.0,296.3,-29.9
704.00,466.0,296.2,31.5
705.00,465.2,296.0,57.9
706.00,467.8,295.9,-12.1
707.00,467.6,295.7,-41.8
708.00,470.1,295.6,7.5
709.00,462.2,295.4,37.1
710.00,468.7,295.3,-15.5
711.00,466.3,295.2,19.5
712.00,467.4,295.0,40.0
713.00,469.1,294.9,-11.1
714.00,469.2,294.7,-24.1
715.00,467.6,294.6,23.5
716.00,470.8,294.4,-10.6
717.00,470.7,294.3,-44.3
718.00,466.4,294.1,6.7
719.00,467.4,294.0,40.6
720.00,465.5,293.8,37.2
721.00,469.6,293.7,10.4
722.00,469.7,293.5,-14.0
723.00,465.3,293.4,6.2
724.00,468.6,293.2,-11.0
725.00,471.4,293.1,-59.6
726.00,466.7,293.0,12.6
727.00,470.0,292.8,28.6
728.00,468.9,292.7,-41.3
729.00,468.6,292.5,-13.7
730.00,469.4,292.4,-15.8
731.00,468.7,292.2,7.0
732.00,468.5,292.1,-16.4
733.00,468.9,291.9,-6.0
734.00,469.7,291.8,-24.2
735.00,468.1,291.6,-22.7
736.00,469.4,291.5,11.9
737.00,471.3,291.4,21.1
738.00,469.6,291.2,-40.7
739.00,466.6,291.1,31.0
740.00,466.7,290.9,42.6
741.00,467.4,290.8,32.6
742.00,469.9,290.6,-19.8
743.00,469.4,290.5,2.5
744.00,466.6,290.3,40.2
745.00,469.2,290.2,4.6
746.00,468.4,290.1,13.2
747.00,469.5,289.9,-25.9
748.00,469.2,289.8,19.1
749.00,468.0,289.6,-23.3
750.00,471.3,289.5,-56.2
751.00,468.8,289.3,-24.1
752.00,467.9,289.2,42.5
753.00,465.7,289.0,17.2
754.00,467.3,288.9,31.2
755.00,469.7,288.8,8.9
756.00,472.8,288.6,-53.6
757.00,468.1,288.5,27.3
758.00,472.1,288.3,-25.5
759.00,467.0,288.2,1.4
760.00,467.7,288.0,44.1
761.00,468.2,287.9,10.5
762.00,470.1,287.8,12.6
763.00,466.6,287.6,40.7
764.00,471.4,287.5,-33.9
765.00,467.4,287.3,12.4
766.00,469.4,287.2,-21.2
767.00,468.6,287.0,-5.4
768.00,471.3,286.9,-45.2
769.00,469.4,286.8,3.7
770.00,471.5,286.6,8.9
771.00,468.9,286.5,1.9
772.00,468.9,286.3,38.5
773.00,468.1,286.2,-20.3
774.00,471.9,286.0,-5.8
775.00,468.4,285.9,8.6
776.00,468.7,285.8,25.2
777.00,466.3,285.6,15.1
778.00,471.8,285.5,-39.4
779.00,468.7,285.3,-13.0
780.00,469.5,285.2,-6.6
781.00,470.6,285.0,-9.0
782.00,467.6,284.9,43.2
783.00,471.5,284.8,32.0
784.00,467.5,284.6,54.0
785.00,471.3,284.5,7.4
786.00,469.1,284.3,-12.9
787.00,472.6,284.2,-33.5
788.00,473.2,284.1,0.8
789.00,470.5,283.9,-47.5
790.00,467.8,283.8,12.2
791.00,471.7,283.6,-50.6
792.00,470.9,283.5,-31.5
793.00,468.6,283.4,38.2
794.00,470.7,283.2,-25.8
795.00,468.8,283.1,-7.1
796.00,467.9,282.9,21.2
797.00,469.6,282.8,-2.2
798.00,469.9,282.6,1.5
799.00,469.6,282.5,22.0
800.00,471.2,282.4,13.2
801.00,470.0,282.2,-6.5
802.00,471.3,282.1,-2.4
803.00,469.9,281.9,16.7
804.00,470.0,281.8,-6.5
805.00,467.6,281.7,55.8
806.00,469.0,281.5,6.4
807.00,470.6,281.4,14.8
808.00,467.8,281.2,66.5
809.00,470.9,281.1,-6.8
810.00,473.9,281.0,-51.7
811.00,470.7,280.8,3.2
812.00,473.4,280.7,-55.9
813.00,469.0,280.5,10.2
814.00,468.6,280.4,29.3
815.00,473.8,280.3,-10.7
816.00,471.8,280.1,2.2
817.00,470.1,280.0,35.4
818.00,472.0,279.8,-19.1
819.00,468.3,279.7,19.2
820.00,468.5,279.6,32.9
821.00,468.3,279.4,32.6
822.00,468.9,279.3,17.3
823.00,470.8,279.2,-22.2
824.00,473.4,279.0,-31.8
825.00,468.6,278.9,45.4
826.00,473.0,278.7,-23.0
827.00,471.1,278.6,-4.2
828.00,470.3,278.5,-23.9
829.00,473.1,278.3,-19.9
830.00,471.2,278.2,-17.5
831.00,469.1,278.0,-12.3
832.00,470.0,277.9,-4.0
833.00,469.2,277.8,-5.7
834.00,470.3,277.6,-33.1
835.00,470.5,277.5,-5.5
836.00,471.2,277.4,-31.9
837.00,469.7,277.2,39.1
838.00,469.1,277.1,-7.0
839.00,467.8,276.9,0.9
840.00,469.4,276.8,11.8
841.00,470.7,276.7,9.1
842.00,467.3,276.5,43.6
843.00,468.7,276.4,-5.7
844.00,467.0,276.3,62.9
845.00,472.3,276.1,10.3
846.00,471.5,276.0,18.7
