time_us,current_A,voltage_V,di_dt_A_us
100.00,7497.6,400.0,-215.4
101.00,7256.5,386.9,-246.1
102.00,7021.4,374.2,-275.1
103.00,6791.1,361.9,-200.3
104.00,6570.8,350.1,-229.0
105.00,6361.5,338.6,-271.6
106.00,6150.1,327.5,-191.2
107.00,5951.8,316.8,-214.1
108.00,5762.2,306.4,-172.3
109.00,5575.1,296.3,-186.1
110.00,5394.7,286.6,-204.1
111.00,5218.1,277.2,-134.6
112.00,5052.2,268.1,-172.5
113.00,4885.4,259.3,-120.4
114.00,4728.8,250.8,-101.8
115.00,4578.8,242.6,-156.1
116.00,4434.5,234.7,-190.4
117.00,4291.4,227.0,-150.8
118.00,4145.3,219.5,-76.5
119.00,4018.8,212.3,-132.9
120.00,3892.4,205.4,-173.3
121.00,3768.3,198.6,-143.5
122.00,3644.4,192.1,-104.8
123.00,3530.8,185.8,-131.8
124.00,3417.5,179.7,-83.1
125.00,3312.0,173.8,-134.2
126.00,3203.5,168.1,-103.3
127.00,3107.0,162.6,-146.9
128.00,3009.5,157.3,-145.6
129.00,2912.0,152.1,-89.1
130.00,2819.5,147.2,-93.5
131.00,2730.3,142.3,-105.8
132.00,2645.8,137.7,-77.7
133.00,2563.2,133.1,-81.2
134.00,2482.4,128.8,-87.1
135.00,2402.7,124.6,-38.1
136.00,2333.5,120.5,-111.6
137.00,2257.3,116.5,-91.3
138.00,2190.1,112.7,-78.5
139.00,2119.1,109.0,-30.2
140.00,2056.5,105.4,-74.9
141.00,1992.8,102.0,-89.3
142.00,1933.7,98.6,-51.0
143.00,1874.2,95.4,-45.2
144.00,1818.0,92.3,-69.5
145.00,1762.2,89.3,-59.2
146.00,1711.6,86.3,-54.9
147.00,1662.0,83.5,-78.3
148.00,1610.1,80.8,-42.0
149.00,1560.8,78.1,-26.9
150.00,1517.5,75.6,-47.8
151.00,1473.9,73.1,-61.9
152.00,1431.6,70.7,-126.6
153.00,1385.1,68.4,-8.4
154.00,1346.2,66.1,-4.2
155.00,1311.4,64.0,-64.8
156.00,1271.9,61.9,-62.9
157.00,1237.5,59.8,-60.3
158.00,1200.5,57.9,-22.3
159.00,1168.3,56.0,-67.5
160.00,1131.0,54.1,15.1
161.00,1104.8,52.4,8.1
162.00,1072.6,50.6,3.2
163.00,1047.1,49.0,-65.1
164.00,1016.7,47.4,-35.5
165.00,991.9,45.8,-62.4
166.00,960.9,44.3,-19.9
167.00,934.2,42.9,7.7
168.00,911.1,41.5,-9.8
169.00,888.4,40.1,23.7
170.00,868.1,38.8,-21.7
171.00,849.1,37.5,-60.6
172.00,823.6,36.3,-36.4
173.00,801.6,35.1,49.6
174.00,784.1,33.9,-21.2
175.00,766.5,32.8,-1.9
176.00,747.2,31.8,-2.8
177.00,725.6,30.7,35.9
178.00,712.4,29.7,-27.2
179.00,693.2,28.7,45.2
180.00,680.6,27.8,-14.7
181.00,663.9,26.9,-23.6
182.00,649.9,26.0,-31.6
183.00,635.9,25.1,-15.0
184.00,624.7,24.3,-44.7
185.00,611.5,23.5,-19.0
186.00,599.0,22.8,-40.9
187.00,589.5,22.0,-49.1
188.00,574.7,21.3,-19.6
189.00,562.7,20.6,37.0
190.00,554.1,19.9,-47.9
191.00,543.0,19.3,-41.4
192.00,534.1,18.6,-17.7
193.00,522.2,18.0,44.1
194.00,516.1,17.4,-12.8
195.00,508.0,16.9,-85.1
196.00,497.1,16.3,-7.8
197.00,489.5,15.8,-42.1
198.00,478.6,15.3,13.4
199.00,472.8,14.8,-25.8
200.00,469.2,14.3,-68.0
201.00,458.8,13.8,21.4
202.00,452.3,13.3,16.2
203.00,448.2,12.9,-38.2
204.00,442.0,12.5,-14.4
205.00,437.8,12.1,-4.9
206.00,429.1,11.7,-20.3
207.00,426.4,11.3,-3.0
208.00,422.6,10.9,-28.1
209.00,416.5,10.6,-42.6
210.00,407.5,10.2,9.9
211.00,407.5,9.9,1.2
212.00,404.3,9.6,-24.5
213.00,402.4,9.3,-36.7
214.00,392.5,8.9,-2.7
215.00,386.9,8.7,35.5
216.00,387.1,8.4,19.2
217.00,389.8,8.1,-46.1
218.00,381.8,7.8,3.1
219.00,379.9,7.6,9.7
220.00,377.0,7.3,24.4
221.00,371.0,7.1,25.2
222.00,372.5,6.9,-16.9
223.00,369.8,6.6,2.5
224.00,364.9,6.4,21.8
225.00,367.0,6.2,-46.4
226.00,359.4,6.0,35.4
227.00,357.5,5.8,42.2
228.00,364.1,5.6,-52.1
229.00,357.6,5.4,-18.3
230.00,357.6,5.2,-7.4
231.00,359.2,5.1,-25.1
232.00,356.0,4.9,2.9
233.00,352.0,4.7,19.6
234.00,352.0,4.6,0.2
235.00,350.7,4.4,5.6
236.00,354.3,4.3,-12.1
237.00,351.1,4.2,-10.4
238.00,349.8,4.0,48.5
239.00,351.9,3.9,19.0
240.00,350.6,3.8,-1.7
241.00,351.9,3.6,-46.5
242.00,346.6,3.5,-11.9
243.00,351.0,3.4,3.6
244.00,348.8,3.3,-18.9
245.00,347.7,3.2,32.1
246.00,345.1,3.1,74.5
247.00,351.2,3.0,-50.4
248.00,347.9,2.9,2.2
249.00,350.0,2.8,-11.3
250.00,349.9,2.7,-30.3
251.00,347.6,2.6,18.3
252.00,349.6,2.5,-10.2
253.00,350.0,2.4,-10.7
254.00,348.7,2.4,3.2
255.00,352.0,2.3,-41.4
256.00,351.4,2.2,-2.3
257.00,350.0,2.1,27.4
258.00,353.5,2.1,-14.1
259.00,351.2,2.0,52.1
260.00,356.8,1.9,-26.7
261.00,355.5,1.9,29.8
262.00,354.9,1.8,9.9
263.00,360.6,1.7,-39.8
264.00,354.8,1.7,25.9
265.00,361.3,1.6,-53.6
266.00,358.8,1.6,7.9
267.00,360.4,1.5,5.9
268.00,362.6,1.5,-5.4
269.00,361.9,1.4,11.8
270.00,363.4,1.4,14.9
271.00,364.4,1.3,23.9
272.00,363.3,1.3,24.1
273.00,363.7,1.3,47.8
274.00,365.3,1.2,62.3
275.00,366.8,1.2,73.7
276.00,373.2,1.1,5.3
277.00,374.8,1.1,-11.7
278.00,375.8,1.1,-48.8
279.00,375.7,1.0,27.3
280.00,379.4,1.0,-50.9
281.00,380.4,1.0,-33.3
282.00,381.8,0.9,-41.7
283.00,382.2,0.9,-30.8
284.00,380.1,0.9,-5.1
285.00,385.6,0.8,12.8
286.00,387.9,0.8,-41.4
287.00,386.5,0.8,-0.2
288.00,388.2,0.8,-47.3
289.00,391.1,0.7,-26.7
290.00,389.3,0.7,12.6
291.00,392.5,0.7,-15.9
292.00,391.4,0.7,32.4
293.00,393.8,0.6,3.5
294.00,397.0,0.6,7.6
295.00,399.7,0.6,-42.0
296.00,402.2,0.6,0.7
297.00,401.3,0.6,22.0
298.00,400.7,0.5,25.8
299.00,404.4,0.5,-5.3
300.00,406.6,0.5,12.0
301.00,410.4,0.5,-39.9
302.00,409.6,0.5,25.1
303.00,412.6,0.5,-20.0
304.00,411.5,0.4,9.9
305.00,415.5,0.4,27.7
306.00,417.7,0.4,34.6
307.00,418.9,0.4,5.2
308.00,422.1,0.4,-26.3
309.00,420.9,0.4,13.8
310.00,424.1,0.4,-32.6
311.00,427.8,0.4,-17.1
312.00,427.7,0.3,-25.6
313.00,428.8,0.3,26.6
314.00,430.6,0.3,22.9
315.00,433.9,0.3,-9.0
316.00,434.0,0.3,-3.9
317.00,434.0,0.3,44.1
318.00,438.2,0.3,-25.6
319.00,437.8,0.3,3.7
320.00,441.6,0.3,27.7
321.00,444.9,0.3,-15.7
322.00,447.0,0.2,9.4
323.00,443.5,0.2,37.3
324.00,445.1,0.2,20.9
325.00,449.3,0.2,14.4
326.00,453.4,0.2,-12.1
327.00,453.1,0.2,7.7
328.00,455.0,0.2,12.0
329.00,461.1,0.2,-14.0
330.00,459.9,0.2,0.1
331.00,460.2,0.2,31.8
332.00,461.8,0.2,0.2
333.00,463.5,0.2,3.3
334.00,462.9,0.2,28.4
335.00,466.9,0.2,30.6
336.00,470.4,0.2,-19.6
337.00,472.1,0.1,-6.2
338.00,476.1,0.1,9.9
339.00,477.1,0.1,-2.2
340.00,476.1,0.1,3.4
341.00,478.6,0.1,25.2
342.00,480.2,0.1,25.3
343.00,482.6,0.1,35.9
344.00,488.3,0.1,-24.8
345.00,489.3,0.1,-11.7
346.00,488.8,0.1,13.8
347.00,493.0,0.1,-53.7
348.00,497.6,0.1,-52.8
349.00,493.6,0.1,33.6
350.00,498.0,0.1,-2.0
351.00,498.6,0.1,-2.8
352.00,500.1,0.1,-6.9
353.00,504.1,0.1,6.6
354.00,498.6,0.1,71.6
355.00,508.3,0.1,-10.5
356.00,508.7,0.1,4.3
357.00,509.9,0.1,-14.0
358.00,512.5,0.1,-17.8
359.00,512.5,0.1,50.7
360.00,514.5,0.1,20.8
361.00,518.3,0.1,-15.8
362.00,523.0,0.1,-20.2
363.00,520.5,0.1,-18.8
364.00,523.4,0.1,-0.2
365.00,526.6,0.1,29.4
366.00,530.7,0.1,-15.4
367.00,533.3,0.1,-32.2
368.00,528.2,0.1,43.2
369.00,537.5,0.1,-51.2
370.00,534.1,0.0,-14.1
371.00,536.2,0.0,-6.6
372.00,541.8,0.0,-35.6
373.00,541.8,0.0,-4.5
374.00,543.1,0.0,-16.4
375.00,544.7,0.0,4.9
376.00,550.9,0.0,-29.3
377.00,549.6,0.0,-43.7
378.00,555.6,0.0,-59.1
379.00,551.2,0.0,27.2
380.00,555.0,0.0,-35.0
381.00,560.6,0.0,-35.8
382.00,559.3,0.0,29.7
383.00,561.6,0.0,-2.6
384.00,565.6,0.0,-26.4
385.00,562.7,0.0,16.1
386.00,569.0,0.0,7.2
387.00,566.5,0.0,24.4
388.00,568.0,0.0,7.4
389.00,573.7,0.0,7.0
390.00,574.1,0.0,-1.6
391.00,574.4,0.0,47.5
392.00,579.9,0.0,-9.6
393.00,580.4,0.0,-37.5
394.00,583.2,0.0,-28.3
395.00,582.7,0.0,21.5
396.00,584.5,0.0,22.5
397.00,587.3,0.0,21.8
398.00,592.4,0.0,-35.7
399.00,589.1,0.0,4.4
400.00,593.2,0.0,2.2
401.00,594.5,0.0,50.8
402.00,596.9,0.0,-10.0
403.00,601.7,0.0,-10.4
404.00,599.7,0.0,7.5
405.00,603.9,0.0,-20.7
406.00,607.5,0.0,-34.2
407.00,607.0,0.0,-0.0
408.00,607.8,0.0,53.0
409.00,611.1,0.0,-3.2
410.00,608.8,0.0,36.7
411.00,613.5,0.0,8.3
412.00,611.6,0.0,49.7
413.00,620.3,0.0,2.6
414.00,620.6,0.0,-6.3
415.00,622.5,0.0,0.6
416.00,626.9,0.0,-25.5
417.00,624.1,0.0,57.0
418.00,629.0,0.0,30.0
419.00,633.4,0.0,-22.7
420.00,629.8,0.0,33.6
421.00,634.2,0.0,39.1
422.00,638.0,0.0,4.4
423.00,639.5,0.0,-13.1
424.00,639.4,0.0,7.6
425.00,647.0,0.0,-42.0
426.00,642.8,0.0,14.3
427.00,645.8,0.0,24.5
428.00,645.0,0.0,62.1
429.00,647.3,0.0,17.7
430.00,652.3,0.0,-16.1
431.00,654.0,0.0,-11.0
432.00,653.7,0.0,14.9
433.00,658.5,0.0,-9.1
434.00,662.7,0.0,-3.6
435.00,664.2,0.0,-4.3
436.00,664.7,0.0,-3.2
437.00,664.2,0.0,1.1
438.00,667.4,0.0,-1.3
439.00,667.3,0.0,48.1
440.00,671.4,0.0,-22.9
441.00,674.1,0.0,-15.5
442.00,675.7,0.0,-18.8
443.00,674.0,0.0,19.7
444.00,681.8,0.0,-11.7
445.00,680.9,0.0,8.3
446.00,680.9,0.0,34.5
447.00,687.0,0.0,-24.5
448.00,685.3,0.0,-2.5
449.00,689.9,0.0,-9.4
450.00,693.3,0.0,-21.2
451.00,691.3,0.0,12.1
452.00,695.9,0.0,-5.1
453.00,696.2,0.0,8.6
454.00,699.4,0.0,22.6
455.00,699.1,0.0,21.1
456.00,705.3,0.0,-56.8
457.00,704.1,0.0,-20.8
458.00,706.4,0.0,-63.4
459.00,705.8,0.0,15.4
460.00,713.1,0.0,13.1
461.00,716.8,0.0,-39.7
462.00,718.0,0.0,10.0
463.00,714.8,0.0,-7.9
464.00,722.3,0.0,-34.5
465.00,722.6,0.0,-46.1
466.00,723.3,0.0,13.7
467.00,724.9,0.0,-19.9
468.00,724.6,0.0,27.3
469.00,728.5,0.0,-0.5
470.00,729.1,0.0,16.3
471.00,729.2,0.0,16.4
472.00,735.5,0.0,4.2
473.00,730.9,0.0,44.8
474.00,738.7,0.0,16.3
475.00,741.9,0.0,-24.3
476.00,740.1,0.0,24.5
477.00,742.7,0.0,27.1
478.00,747.5,0.0,-29.6
479.00,747.9,0.0,-6.0
480.00,748.9,0.0,20.8
481.00,749.8,0.0,29.8
482.00,750.2,0.0,54.9
483.00,756.4,0.0,-24.0
484.00,757.0,0.0,7.0
485.00,755.4,0.0,4.3
486.00,759.8,0.0,6.2
487.00,763.5,0.0,12.7
488.00,765.2,0.0,18.6
489.00,765.4,0.0,-20.2
490.00,767.6,0.0,18.2
491.00,769.9,0.0,-28.8
492.00,772.3,0.0,-39.8
493.00,779.4,0.0,-73.5
494.00,775.9,0.0,9.8
495.00,782.2,0.0,-35.5
496.00,781.6,0.0,-13.2
497.00,783.2,0.0,-12.1
498.00,781.9,0.0,19.4
499.00,788.9,0.0,-6.8
500.00,787.8,0.0,4.2
501.00,789.4,0.0,39.6
502.00,793.4,0.0,-9.1
503.00,792.0,0.0,-12.1
504.00,795.1,0.0,-16.2
505.00,797.6,0.0,22.9
506.00,802.9,0.0,-29.0
507.00,798.5,0.0,44.3
508.00,803.2,0.0,5.0
509.00,804.0,0.0,6.8
510.00,810.5,0.0,-55.9
511.00,813.1,0.0,-30.6
512.00,809.3,0.0,25.5
513.00,812.4,0.0,-11.6
514.00,816.4,0.0,-29.8
515.00,818.4,0.0,-11.9
516.00,817.5,0.0,8.5
517.00,820.8,0.0,40.2
518.00,822.2,0.0,-29.3
519.00,822.9,0.0,-20.5
520.00,828.8,0.0,-2.1
521.00,830.7,0.0,-26.2
522.00,831.1,0.0,24.1
523.00,832.8,0.0,-4.7
524.00,835.5,0.0,13.5
525.00,837.3,0.0,1.5
526.00,837.1,0.0,37.4
527.00,840.1,0.0,6.4
528.00,843.0,0.0,-22.9
529.00,842.9,0.0,34.3
530.00,841.4,0.0,72.3
531.00,848.2,0.0,-1.5
532.00,851.4,0.0,-3.8
533.00,850.9,0.0,-1.9
534.00,856.3,0.0,-34.9
535.00,855.2,0.0,-8.0
536.00,854.7,0.0,35.6
537.00,857.1,0.0,59.9
538.00,862.4,0.0,9.0
539.00,862.4,0.0,27.5
540.00,865.9,0.0,14.5
541.00,867.6,0.0,17.4
542.00,871.0,0.0,-18.8
543.00,870.1,0.0,26.8
544.00,873.8,0.0,-10.2
545.00,879.0,0.0,-26.4
546.00,874.2,0.0,48.4
547.00,880.3,0.0,-29.1
548.00,880.5,0.0,3.0
549.00,880.9,0.0,29.1
550.00,884.8,0.0,25.5
551.00,888.9,0.0,15.6
552.00,888.9,0.0,-16.7
553.00,893.5,0.0,-4.0
554.00,891.2,0.0,-29.0
555.00,891.1,0.0,43.3
556.00,890.8,0.0,57.1
557.00,893.9,0.0,83.9
558.00,900.4,0.0,8.3
559.00,900.7,0.0,14.4
560.00,904.8,0.0,-18.2
561.00,904.8,0.0,16.2
562.00,909.8,0.0,-29.0
563.00,912.4,0.0,-31.5
564.00,912.4,0.0,7.6
565.00,914.0,0.0,5.2
566.00,917.6,0.0,-28.4
567.00,916.9,0.0,16.3
568.00,918.2,0.0,28.2
569.00,923.3,0.0,-41.7
570.00,924.3,0.0,3.8
571.00,928.7,0.0,-19.0
572.00,929.2,0.0,-3.4
573.00,923.7,0.0,30.9
574.00,928.6,0.0,31.8
575.00,935.4,0.0,-16.7
576.00,936.7,0.0,-18.8
577.00,934.6,0.0,22.7
578.00,938.2,0.0,9.2
579.00,943.4,0.0,-45.8
580.00,940.0,0.0,40.4
581.00,941.3,0.0,72.8
582.00,946.5,0.0,20.4
583.00,948.6,0.0,31.2
584.00,950.7,0.0,-16.2
585.00,956.2,0.0,-64.3
586.00,958.4,0.0,-7.4
587.00,954.0,0.0,34.4
588.00,956.9,0.0,5.2
589.00,962.3,0.0,-19.0
590.00,963.3,0.0,-6.4
591.00,962.2,0.0,15.2
592.00,966.3,0.0,-11.7
593.00,965.6,0.0,24.6
594.00,969.1,0.0,31.9
595.00,972.4,0.0,-2.9
596.00,970.9,0.0,41.9
597.00,979.8,0.0,-60.6
598.00,973.6,0.0,33.6
599.00,977.1,0.0,39.5
600.00,983.2,0.0,-14.9
601.00,986.4,0.0,-13.1
602.00,985.4,0.0,51.1
603.00,988.5,0.0,-34.3
604.00,989.6,0.0,18.8
605.00,993.7,0.0,-26.9
606.00,992.4,0.0,36.2
607.00,993.1,0.0,-7.0
608.00,996.5,0.0,-13.2
609.00,999.1,0.0,14.8
610.00,1000.1,0.0,22.5
611.00,1002.3,0.0,21.4
612.00,1006.5,0.0,-41.3
613.00,1006.8,0.0,-24.1
614.00,1006.2,0.0,23.3
615.00,1010.3,0.0,26.0
616.00,1011.6,0.0,7.6
617.00,1012.0,0.0,34.0
618.00,1016.1,0.0,12.1
619.00,1019.0,0.0,-38.0
620.00,1022.8,0.0,-17.0
621.00,1024.8,0.0,-22.7
622.00,1023.9,0.0,-2.1
623.00,1023.5,0.0,11.2
624.00,1031.7,0.0,-40.4
625.00,1029.6,0.0,-44.0
626.00,1034.7,0.0,-12.9
627.00,1033.3,0.0,7.3
628.00,1032.9,0.0,16.0
629.00,1035.9,0.0,-4.9
630.00,1038.9,0.0,8.8
631.00,1041.5,0.0,-37.1
632.00,1044.9,0.0,-41.6
633.00,1046.8,0.0,-15.3
634.00,1046.6,0.0,32.7
635.00,1043.7,0.0,24.9
636.00,1048.8,0.0,9.6
637.00,1054.3,0.0,-11.6
638.00,1052.7,0.0,27.8
639.00,1054.9,0.0,25.5
640.00,1058.1,0.0,17.5
641.00,1063.1,0.0,-27.1
642.00,1062.3,0.0,23.6
643.00,1065.1,0.0,21.9
644.00,1060.2,0.0,87.3
645.00,1069.5,0.0,25.1
646.00,1069.5,0.0,25.3
647.00,1075.4,0.0,-25.7
648.00,1070.8,0.0,37.7
649.00,1078.5,0.0,-8.8
650.00,1075.8,0.0,38.7
651.00,1077.3,0.0,-0.4
652.00,1081.6,0.0,47.1
653.00,1083.8,0.0,23.8
654.00,1085.1,0.0,35.1
655.00,1089.8,0.0,-42.6
656.00,1090.8,0.0,-24.7
657.00,1091.8,0.0,5.0
658.00,1093.1,0.0,11.7
659.00,1092.1,0.0,55.8
660.00,1097.8,0.0,-11.9
661.00,1103.2,0.0,-49.8
662.00,1099.4,0.0,18.4
663.00,1103.1,0.0,1.7
664.00,1104.6,0.0,6.9
665.00,1108.6,0.0,2.6
666.00,1105.4,0.0,26.9
667.00,1106.9,0.0,20.3
668.00,1112.9,0.0,-9.6
669.00,1113.2,0.0,15.5
670.00,1119.1,0.0,-64.9
671.00,1115.8,0.0,20.5
672.00,1118.1,0.0,-13.6
673.00,1121.0,0.0,4.6
674.00,1124.1,0.0,-12.9
675.00,1130.0,0.0,-19.6
676.00,1126.2,0.0,43.8
677.00,1127.6,0.0,-15.5
678.00,1133.4,0.0,-16.1
679.00,1133.9,0.0,-6.4
680.00,1139.4,0.0,-40.6
681.00,1137.5,0.0,22.0
682.00,1136.4,0.0,8.5
683.00,1144.9,0.0,-22.3
684.00,1138.5,0.0,64.8
685.00,1148.2,0.0,-28.1
686.00,1148.4,0.0,1.6
687.00,1146.6,0.0,7.9
688.00,1148.5,0.0,9.4
689.00,1153.1,0.0,6.6
690.00,1155.0,0.0,-10.0
691.00,1153.9,0.0,7.6
692.00,1160.3,0.0,-6.8
693.00,1160.7,0.0,8.9
694.00,1161.5,0.0,2.8
695.00,1166.5,0.0,-27.7
696.00,1162.6,0.0,42.8
697.00,1165.7,0.0,17.4
698.00,1169.7,0.0,5.7
699.00,1174.4,0.0,-1.6
700.00,1172.7,0.0,12.4
701.00,1174.5,0.0,7.7
702.00,1179.0,0.0,-14.5
703.00,1179.3,0.0,8.2
704.00,1180.5,0.0,10.8
705.00,1181.8,0.0,-10.4
706.00,1186.6,0.0,-4.4
707.00,1188.7,0.0,-16.5
708.00,1190.9,0.0,-22.4
709.00,1186.6,0.0,52.1
710.00,1193.5,0.0,-8.5
711.00,1193.4,0.0,-23.3
712.00,1196.0,0.0,-6.0
713.00,1197.4,0.0,46.5
714.00,1202.2,0.0,28.6
715.00,1200.6,0.0,49.5
716.00,1206.5,0.0,16.2
717.00,1204.2,0.0,34.9
718.00,1204.1,0.0,32.6
719.00,1210.6,0.0,-1.7
720.00,1212.2,0.0,-3.3
721.00,1211.9,0.0,17.3
722.00,1218.0,0.0,-4.0
723.00,1219.4,0.0,7.7
724.00,1219.8,0.0,-0.8
725.00,1217.5,0.0,35.3
726.00,1221.7,0.0,39.4
727.00,1222.6,0.0,32.1
728.00,1227.4,0.0,8.2
729.00,1232.2,0.0,-2.8
730.00,1227.1,0.0,17.5
731.00,1231.7,0.0,56.1
732.00,1233.9,0.0,35.3
733.00,1236.7,0.0,-12.8
734.00,1237.2,0.0,47.0
735.00,1237.5,0.0,37.2
736.00,1240.2,0.0,40.5
737.00,1243.2,0.0,29.2
738.00,1252.1,0.0,-103.1
739.00,1245.9,0.0,43.8
740.00,1251.0,0.0,-14.4
741.00,1248.0,0.0,14.0
742.00,1254.2,0.0,-11.0
743.00,1256.6,0.0,24.3
744.00,1257.6,0.0,-24.6
745.00,1259.2,0.0,18.0
746.00,1259.8,0.0,4.8
747.00,1262.1,0.0,16.1
748.00,1266.7,0.0,-32.4
749.00,1263.3,0.0,16.6
750.00,1271.3,0.0,-16.5
751.00,1271.6,0.0,29.3
752.00,1272.9,0.0,13.9
753.00,1275.6,0.0,7.0
754.00,1278.2,0.0,-29.4
755.00,1278.4,0.0,-20.1
756.00,1283.6,0.0,7.3
757.00,1286.3,0.0,-49.9
758.00,1286.9,0.0,-17.6
759.00,1288.2,0.0,-20.8
760.00,1287.9,0.0,-2.4
761.00,1287.7,0.0,6.5
762.00,1290.2,0.0,21.3
763.00,1291.6,0.0,66.5
764.00,1297.6,0.0,-25.7
765.00,1296.3,0.0,33.7
766.00,1298.5,0.0,-20.1
767.00,1298.8,0.0,45.7
768.00,1304.1,0.0,-14.5
769.00,1307.1,0.0,-20.2
770.00,1306.5,0.0,7.7
771.00,1311.7,0.0,-13.5
772.00,1308.4,0.0,56.6
773.00,1309.5,0.0,-12.4
774.00,1318.5,0.0,-28.0
775.00,1316.6,0.0,-4.0
776.00,1317.2,0.0,13.6
777.00,1323.9,0.0,-34.6
778.00,1322.1,0.0,-13.7
779.00,1322.8,0.0,21.6
780.00,1328.2,0.0,-20.4
781.00,1329.5,0.0,7.4
782.00,1329.2,0.0,-43.8
783.00,1328.8,0.0,25.4
784.00,1333.9,0.0,-10.1
785.00,1333.8,0.0,1.2
786.00,1336.0,0.0,10.2
787.00,1337.8,0.0,21.3
788.00,1341.4,0.0,1.0
789.00,1338.6,0.0,24.4
790.00,1343.7,0.0,6.4
791.00,1343.3,0.0,19.6
792.00,1345.0,0.0,39.8
793.00,1348.3,0.0,23.1
794.00,1354.1,0.0,-32.1
795.00,1356.7,0.0,-11.9
796.00,1358.7,0.0,-35.4
797.00,1358.4,0.0,-19.7
798.00,1361.8,0.0,10.6
799.00,1363.9,0.0,3.5
800.00,1364.5,0.0,-20.2
801.00,1367.6,0.0,16.4
802.00,1367.6,0.0,44.9
803.00,1371.3,0.0,-49.9
804.00,1372.9,0.0,-58.2
805.00,1373.7,0.0,-3.1
806.00,1375.5,0.0,-13.6
807.00,1379.6,0.0,-29.8
808.00,1379.3,0.0,-37.0
809.00,1382.8,0.0,-30.2
810.00,1381.0,0.0,5.5
811.00,1385.0,0.0,-4.6
812.00,1388.0,0.0,-15.1
813.00,1387.8,0.0,3.8
814.00,1393.3,0.0,-37.0
815.00,1392.1,0.0,15.0
816.00,1397.7,0.0,-44.4
817.00,1397.1,0.0,3.1
818.00,1396.7,0.0,39.9
819.00,1399.4,0.0,0.8
820.00,1403.8,0.0,-17.5
821.00,1398.7,0.0,74.0
822.00,1406.9,0.0,7.0
823.00,1406.5,0.0,30.4
824.00,1409.8,0.0,-15.9
825.00,1413.9,0.0,-41.3
826.00,1413.6,0.0,-6.0
